row_id,article_id,claim_id,claim,binary_label_name,original_verdict,normalised_rating,organisation,date_published,financial_matches,finance_term_count,word_count,url,finance_relevant,label_valid,standalone_claim,audit_notes
911,50336,3818,The United Nations plans to introduce a digital one-world currency to track all transactions.,misleading,false,false,Australian Associated Press,2021-09-30T00:00:00,['currency'],1,14,https://www.aap.com.au/factcheck/un-world-currency-claim-is-bankrupt-of-facts/,,,,
1525,18152,4381,"Joe Biden ""wants to raise everybody's taxes by four times.""",misleading,false,false,AFP Fact Check,2024-06-28T22:39:00,['tax'],1,10,https://factcheck.afp.com/doc.afp.com.34ZM3RW,,,,
1526,18138,4382,Odinga urges Kenyans to join 2024 tax bill protests,misleading,false,false,AFP Fact Check,2024-06-26T16:19:00,['tax'],1,9,https://factcheck.afp.com/doc.afp.com.34ZC7GR,,,,
1557,17533,4411,Bank BNI offers rewards to customers who have activated mobile banking app,misleading,false,false,AFP Fact Check,2024-03-04T10:00:00,['banking'],1,12,https://factcheck.afp.com/doc.afp.com.34KE4NT,,,,
1650,15625,2176,Australian Tax Office 'doesn't legally exist' because it wasn't gazetted,misleading,false,false,AFP Fact Check,2023-02-17T07:33:00,['tax'],1,10,https://factcheck.afp.com/doc.afp.com.33988UX,,,,
1690,14835,4529,Ben Shapiro had a Paycheck Protection Program loan forgiven,misleading,false,false,AFP Fact Check,2022-08-26T23:14:00,['loan'],1,9,https://factcheck.afp.com/doc.afp.com.32H37EJ,,,,
1755,20107,4589,Three Indonesian banks give free cash to customers,misleading,false,false,AFP Fact Check,2021-12-03T05:56:00,['banking'],1,8,https://factcheck.afp.com/doc.afp.com.9RZ8HB,,,,
1760,20023,4594,US infrastructure bill will tax individual livestock,misleading,false,false,AFP Fact Check,2021-11-12T19:59:00,['tax'],1,7,https://factcheck.afp.com/doc.afp.com.9RA9CD,,,,
1789,19465,4621,Kenya president negotiating for loans in the UK,misleading,false,false,AFP Fact Check,2021-08-11T16:37:00,['loan'],1,8,https://factcheck.afp.com/doc.afp.com.9KY6CE,,,,
1890,23961,4720,Sri Lanka launched a new Rs. 1000 currency note design in 2020,misleading,false,false,AFP Fact Check,2020-09-30T08:20:00,['currency'],1,12,https://factcheck.afp.com/sri-lanka-did-not-launch-new-1000-rupees-banknote-2020,,,,
1903,21540,4733,Evangelical churches in the US did not receive $7.3b worth of COVID-19 loans,misleading,false,false,AFP Fact Check,2020-07-17T04:40:00,['loan'],1,13,https://factcheck.afp.com/loans-were-given-variety-us-religious-organisations-not-just-evangelical-churches-official-data,,,,
1970,22409,4797,The government of Ondo in southwestern Nigeria halved the state's debt in three years,misleading,false,false,AFP Fact Check,2020-01-09T13:55:00,['debt'],1,14,https://factcheck.afp.com/no-ondo-state-southwestern-nigeria-has-not-reduced-its-debt-50-past-three-years,,,,
1985,24209,4811,An Algerian hacker hanged for stealing money from Israeli banks,misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['banking'],1,10,https://factcheck.afp.com/these-photos-show-iranian-man-who-was-executed-assassinating-judge,,,,
2359,21975,5175,South Africa's power utility Eskom loan with Exim Bank of China,misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,"['loan', 'banking']",2,11,https://factcheck.afp.com/no-exim-export-import-bank-china-did-not-tweet-south-africas-power-utility-eskom-has-loan-them,,,,
2614,22599,5425,Prime minister salary for life,misleading,false,false,AFP Fact Check,2024-04-17T16:44:09,['employment'],1,5,https://factcheck.afp.com/no-retired-canadian-prime-minister-not-paid-450000-life,,,,
2727,21882,5532,"Australia's Labor Party, the Greens and the ACTU introduced a 'death tax'",misleading,false,false,AFP Fact Check,2019-04-30T09:00:00,['tax'],1,12,https://factcheck.afp.com/no-australias-labor-party-greens-and-actu-did-not-sign-agreement-introduce-death-tax,,,,
2799,21990,5604,"Ford Ranger is banned under Australian Labor leader Bill Shorten's new ""carbon tax"".",misleading,false,false,AFP Fact Check,2019-05-14T10:00:00,['tax'],1,13,https://factcheck.afp.com/no-ford-ranger-not-banned-australian-labor-partys-new-carbon-tax,,,,
3003,22812,5802,Video of Hong Kong people queuing to withdraw money from China banks,misleading,false,false,AFP Fact Check,2019-06-25T10:30:00,['banking'],1,12,https://factcheck.afp.com/no-video-does-not-show-hong-kong-citizens-queuing-chinese-banks-cancel-accounts-after-mass-protests,,,,
3070,22095,5867,Loan defaulters arrested in Kenya,misleading,false,false,AFP Fact Check,2019-07-10T16:37:00,['loan'],1,5,https://factcheck.afp.com/no-kenyans-are-not-being-arrested-defaulting-their-loans,,,,
3109,22096,5904,Kenyans ordered to stop paying loans from mobile lending apps,misleading,false,false,AFP Fact Check,2019-07-18T12:19:00,['loan'],1,10,https://factcheck.afp.com/no-kenyans-havent-been-ordered-stop-repaying-loans-mobile-lending-apps,,,,
3187,21568,5980,Pakistan's advisor to PM on Finance dances after imposing new taxes,misleading,false,false,AFP Fact Check,2019-08-06T07:00:00,['tax'],1,11,https://factcheck.afp.com/man-dancing-his-25th-wedding-anniversary-india-not-pakistani-finance-official,,,,
3247,22964,6040,"Bathabile Dlamini tweets her ""heartbreak"" over Zimbabwe's economy",misleading,false,false,AFP Fact Check,2019-08-21T16:49:00,['macroeconomy'],1,8,https://factcheck.afp.com/not-real-tweet-anc-womens-league-leader-bathabile-dlamini-it-was-posted-fake-account,,,,
