id,statement,binary_label,binary_label_name,label,label_name,split,original_split,matched_pair_id,broad_topic,subject,speaker,date,word_count,statement_normalised,matched_financial_subjects,matched_high_confidence_terms,matched_supporting_terms,financial_match_source
5341,"Says Ronald Reagan ""understood repeatedly that when the deficit started to get out of control, that for him to make a deal he would have to propose both spending cuts and tax increases.",1,genuine,4,mostly_true,test,test,test_pair_0092,taxation,history;taxes,barack obama,"April 3, 2012",33,says ronald reagan understood repeatedly that when the deficit started to get out of control that for him to make a deal he would have to propose both spending cuts and tax increases,taxes,,deficit;spending;tax,subject_and_supporting_text
8296,"The average rate of fraud"" in the Earned Income Tax Credit, Medicare, Medicaid and food stamps programs ""is 20 to 25 percent.",0,misleading,0,pants_on_fire,test,test,test_pair_0082,taxation,federal budget;crime;medicaid;medicare;welfare;taxes,ron johnson,"January 10, 2014",22,the average rate of fraud in the earned income tax credit medicare medicaid and food stamps programs is 20 to 25 percent,federal budget;taxes,income_tax,credit;income;tax,high_confidence_and_subject
16853,"Says Alexandria Ocasio-Cortez and Ilhan Omar vowed ""to remove senior's 'entitlements,' Social Security/Medicare.",0,misleading,0,pants_on_fire,test,test,test_pair_0010,social_welfare,medicare;social security;facebook fact-checks,bloggers,"December 23, 2019",13,says alexandria ocasio cortez and ilhan omar vowed to remove senior s entitlements social security medicare,social security,social_security,,high_confidence_and_subject
4850,"In the past year, Floridians, not government, created almost 135,000 new private sector jobs. We netted more than 120,000 total jobs in the first 11 months of 2011; the third most of any state in the nation.",1,genuine,4,mostly_true,test,test,test_pair_0008,labour_and_income,economy;jobs,rick scott,"January 10, 2012",37,in the past year floridians not government created almost 135 000 new private sector jobs we netted more than 120 000 total jobs in the first 11 months of 2011 the third most of any state in the nation,economy;jobs,,job,subject_and_supporting_text
1346,The law is very clear! 'The monies recouped from the TARP shall be paid into the general fund of the treasury for the reduction of the public debt.',1,genuine,5,true,test,test,test_pair_0034,public_finance,economy,judd gregg,"February 2, 2010",28,the law is very clear the monies recouped from the tarp shall be paid into the general fund of the treasury for the reduction of the public debt,economy,public_debt,debt,high_confidence_and_subject
8624,"Wisconsin is ""one of the bluest"" states, but under Scott Walker its unemployment rate ""is around 3.5%.",0,misleading,1,false,test,test,test_pair_0055,labour_and_income,bipartisanship;elections;jobs;labor;states,rush limbaugh,"March 19, 2014",17,wisconsin is one of the bluest states but under scott walker its unemployment rate is around 3 5,jobs;labor,unemployment_rate,unemployment,high_confidence_and_subject
6773,Faculty salaries at UW System institutions have now fallen more than 18 percent below the national average.,1,genuine,5,true,test,test,test_pair_0023,public_finance,education;state budget,kevin reilly,"December 7, 2012",17,faculty salaries at uw system institutions have now fallen more than 18 percent below the national average,state budget,,salary,subject_and_supporting_text
6164,"Household income in America has gone down for families an average of $4,000 in the last four years"" while it "" went up $5,000"" under Mitt Romney when he was governor of Massachusetts",0,misleading,1,false,test,test,test_pair_0039,public_finance,economy;federal budget;income,paul ryan,"August 27, 2012",33,household income in america has gone down for families an average of 4 000 in the last four years while it went up 5 000 under mitt romney when he was governor of massachusetts,economy;federal budget;income,,income,subject_and_supporting_text
2218,Sean Duffy backed plan to privatize Social Security.,0,misleading,0,pants_on_fire,test,test,test_pair_0009,social_welfare,message machine 2010;social security,democratic congressional campaign committee,"August 30, 2010",8,sean duffy backed plan to privatize social security,social security,social_security,,high_confidence_and_subject
7227,"The ""working tax cut"" created ""over 40,000 new jobs in just the last four years.",0,misleading,0,pants_on_fire,test,test,test_pair_0074,taxation,taxes,associated industries of florida,"April 14, 2013",15,the working tax cut created over 40 000 new jobs in just the last four years,taxes,,job;tax,subject_and_supporting_text
10619,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",0,misleading,1,false,test,test,test_pair_0031,public_finance,federal budget;military;poverty,facebook posts,"August 13, 2015",22,says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture including food stamps,federal budget,,spending,subject_and_supporting_text
5670,"Says in the last six months of the Bush administration, the U.S. lost 3.5 million jobs, including 760,000 jobs during January 2009 alone.",1,genuine,4,mostly_true,test,test,test_pair_0062,labour_and_income,economy,joe biden,"May 22, 2012",23,says in the last six months of the bush administration the u s lost 3 5 million jobs including 760 000 jobs during january 2009 alone,economy,,job,subject_and_supporting_text
7418,The average student comes out of college hundreds of thousands of dollars in debt.,0,misleading,1,false,test,test,test_pair_0022,public_finance,debt;economy;education,gina raimondo,"May 29, 2013",14,the average student comes out of college hundreds of thousands of dollars in debt,debt;economy,,debt,subject_and_supporting_text
2801,"Under the compromise tax agreement, ""99.7% of American families will not pay 1 nickel in an estate tax.",1,genuine,5,true,test,test,test_pair_0078,taxation,taxes,bernie sanders,"December 13, 2010",18,under the compromise tax agreement 99 7 of american families will not pay 1 nickel in an estate tax,taxes,,tax,subject_and_supporting_text
11532,A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,1,genuine,4,mostly_true,test,test,test_pair_0028,public_finance,debt;economy;education,bill clinton,"April 3, 2016",20,a college loan is the only loan in the united states that you cannot refinance when interest rates go down,debt;economy,interest_rate,loan,high_confidence_and_subject
