first_token,genuine,misleading,total,genuine_rate,misleading_rate,absolute_rate_difference
the,56,42,98,0.21455938697318008,0.16091954022988506,0.05363984674329503
u,2,13,15,0.007662835249042145,0.04980842911877394,0.042145593869731796
president,4,14,18,0.01532567049808429,0.05363984674329502,0.03831417624521073
in,12,6,18,0.04597701149425287,0.022988505747126436,0.022988505747126436
gov,0,6,6,0.0,0.022988505747126436,0.022988505747126436
our,6,1,7,0.022988505747126436,0.0038314176245210726,0.019157088122605363
we,5,1,6,0.019157088122605363,0.0038314176245210726,0.01532567049808429
mitt,4,0,4,0.01532567049808429,0.0,0.01532567049808429
a,12,9,21,0.04597701149425287,0.034482758620689655,0.011494252873563218
as,1,4,5,0.0038314176245210726,0.01532567049808429,0.011494252873563218
democrats,0,3,3,0.0,0.011494252873563218,0.011494252873563218
georgia,0,3,3,0.0,0.011494252873563218,0.011494252873563218
hillary,0,3,3,0.0,0.011494252873563218,0.011494252873563218
says,0,3,3,0.0,0.011494252873563218,0.011494252873563218
when,0,3,3,0.0,0.011494252873563218,0.011494252873563218
all,1,3,4,0.0038314176245210726,0.011494252873563218,0.007662835249042146
it,3,1,4,0.011494252873563218,0.0038314176245210726,0.007662835249042146
joe,1,3,4,0.0038314176245210726,0.011494252873563218,0.007662835249042146
there,2,4,6,0.007662835249042145,0.01532567049808429,0.007662835249042145
his,3,2,5,0.011494252873563218,0.007662835249042145,0.003831417624521073
i,3,2,5,0.011494252873563218,0.007662835249042145,0.003831417624521073
if,3,2,5,0.011494252873563218,0.007662835249042145,0.003831417624521073
wisconsin,3,2,5,0.011494252873563218,0.007662835249042145,0.003831417624521073
according,2,1,3,0.007662835249042145,0.0038314176245210726,0.0038314176245210726
after,1,2,3,0.0038314176245210726,0.007662835249042145,0.0038314176245210726
before,1,2,3,0.0038314176245210726,0.007662835249042145,0.0038314176245210726
for,1,2,3,0.0038314176245210726,0.007662835249042145,0.0038314176245210726
milwaukee,1,2,3,0.0038314176245210726,0.007662835249042145,0.0038314176245210726
new,2,1,3,0.007662835249042145,0.0038314176245210726,0.0038314176245210726
only,1,2,3,0.0038314176245210726,0.007662835249042145,0.0038314176245210726
since,2,1,3,0.007662835249042145,0.0038314176245210726,0.0038314176245210726
south,2,1,3,0.007662835249042145,0.0038314176245210726,0.0038314176245210726
today,2,1,3,0.007662835249042145,0.0038314176245210726,0.0038314176245210726
you,2,1,3,0.007662835249042145,0.0038314176245210726,0.0038314176245210726
he,4,3,7,0.01532567049808429,0.011494252873563218,0.003831417624521072
under,4,3,7,0.01532567049808429,0.011494252873563218,0.003831417624521072
during,3,3,6,0.011494252873563218,0.011494252873563218,0.0
state,2,2,4,0.007662835249042145,0.007662835249042145,0.0
