feature,label,n,mean,standard_deviation,median,q1,q3
affect_anger,genuine,1024,0.4112607421875,0.06888454492594037,0.438,0.375,0.438
affect_anger,misleading,1024,0.4316962890625,0.0724948277111306,0.438,0.375,0.479
affect_fear,genuine,1024,0.327451171875,0.06832407651527714,0.33,0.271,0.375
affect_fear,misleading,1024,0.348060546875,0.07827089239543061,0.333,0.292,0.396
affect_joy,genuine,1024,0.28301757812500006,0.1029503087130826,0.25,0.208,0.333
affect_joy,misleading,1024,0.26034082031250005,0.10157188851917565,0.231,0.188,0.292
affect_sadness,genuine,1024,0.3859140625,0.0795394148314545,0.375,0.333,0.438
affect_sadness,misleading,1024,0.396208984375,0.07798025464632391,0.396,0.333,0.438
affect_valence,genuine,1024,0.4553935546875,0.11490909491972223,0.4365,0.3595,0.532
affect_valence,misleading,1024,0.4285703125,0.11115348708257351,0.3865,0.35,0.483
