dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,classifier,representation,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,1,text_only,1638,410,linear_svm,word_char,0.1,,0.6634146341463415,0.6634146341463415,0.6572769953051644,0.6829268292682927,0.6698564593301436,0.6632864386202957
liar2_finance,1,11,1,emotion_aware,1638,410,linear_svm,word,0.1,0.1,0.6829268292682927,0.6829268292682926,0.6777251184834123,0.697560975609756,0.6875,0.6828589108910892
liar2_finance,1,11,2,text_only,1638,410,logistic_regression,word_char,1.0,,0.6414634146341464,0.6414634146341464,0.6407766990291263,0.6439024390243903,0.6423357664233577,0.6414612817446861
liar2_finance,1,11,2,emotion_aware,1638,410,linear_svm,word_char,0.1,0.05,0.6439024390243903,0.6439024390243903,0.6411483253588517,0.6536585365853659,0.6473429951690821,0.6438685419195165
liar2_finance,1,11,3,text_only,1638,410,logistic_regression,word_char,1.0,,0.6609756097560976,0.6609756097560975,0.6774193548387096,0.6146341463414634,0.6445012787723785,0.6602459773815272
liar2_finance,1,11,3,emotion_aware,1638,410,linear_svm,word,0.1,0.1,0.6536585365853659,0.6536585365853658,0.6684491978609626,0.6097560975609756,0.6377551020408163,0.6529897005531184
liar2_finance,1,11,4,text_only,1638,410,logistic_regression,word_char,0.1,,0.651219512195122,0.651219512195122,0.6534653465346535,0.6439024390243903,0.6486486486486487,0.6512008376415157
liar2_finance,1,11,4,emotion_aware,1638,410,logistic_regression,word,1.0,0.25,0.6317073170731707,0.6317073170731707,0.635,0.6195121951219512,0.6271604938271605,0.6316525360702068
liar2_finance,1,11,5,text_only,1640,408,logistic_regression,word,1.0,,0.6936274509803921,0.6936274509803921,0.6984924623115578,0.6813725490196079,0.6898263027295285,0.6935814322364349
liar2_finance,1,11,5,emotion_aware,1640,408,linear_svm,word_char,0.1,0.1,0.6691176470588235,0.6691176470588235,0.680628272251309,0.6372549019607843,0.6582278481012658,0.668781382482937
liar2_finance,2,22,1,text_only,1638,410,logistic_regression,word_char,0.1,,0.6219512195121951,0.6219512195121951,0.6190476190476191,0.6341463414634146,0.6265060240963856,0.6218949873568347
liar2_finance,2,22,1,emotion_aware,1638,410,linear_svm,word_char,0.1,0.25,0.6487804878048781,0.6487804878048781,0.6532663316582915,0.6341463414634146,0.6435643564356436,0.6487052551408987
liar2_finance,2,22,2,text_only,1638,410,logistic_regression,word_char,0.1,,0.6463414634146342,0.6463414634146342,0.6485148514851485,0.6390243902439025,0.6437346437346437,0.6463225276784599
liar2_finance,2,22,2,emotion_aware,1638,410,logistic_regression,word_char,0.1,0.05,0.6780487804878049,0.6780487804878049,0.6798029556650246,0.6731707317073171,0.6764705882352942,0.6780411193603655
