dataset,repetition,seed,model,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,text_only,0.662109375,0.662109375,0.6650099403578529,0.6533203125,0.6591133004926109,0.6620832717371089
liar2_finance,1,11,emotion_aware,0.65625,0.65625,0.6603206412825652,0.6435546875,0.6518298714144412,0.6561945885519651
liar2_finance,2,22,text_only,0.6494140625,0.6494140625,0.6511857707509882,0.6435546875,0.6473477406679764,0.649402025673794
liar2_finance,2,22,emotion_aware,0.66259765625,0.66259765625,0.6673366834170854,0.6484375,0.657751362060426,0.662529990129876
liar2_finance,3,33,text_only,0.65380859375,0.65380859375,0.6576576576576577,0.6416015625,0.6495304003954523,0.6537569995223764
liar2_finance,3,33,emotion_aware,0.65283203125,0.65283203125,0.6554121151936445,0.64453125,0.6499261447562777,0.6528081086977515
liar2_finance,4,44,text_only,0.6572265625,0.6572265625,0.6590909090909091,0.6513671875,0.6552062868369352,0.6572147939039045
liar2_finance,4,44,emotion_aware,0.6708984375,0.6708984375,0.672244094488189,0.6669921875,0.6696078431372549,0.6708934157320516
liar2_finance,5,55,text_only,0.666015625,0.666015625,0.67,0.654296875,0.6620553359683794,0.6659697529262747
liar2_finance,5,55,emotion_aware,0.67041015625,0.67041015625,0.6726013847675568,0.6640625,0.6683046683046683,0.6703968756370503
liar2_finance,6,66,text_only,0.6533203125,0.6533203125,0.653921568627451,0.6513671875,0.6526418786692759,0.6533189900168992
liar2_finance,6,66,emotion_aware,0.64697265625,0.64697265625,0.654042988741044,0.6240234375,0.638680659670165,0.646786630551073
liar2_finance,7,77,text_only,0.654296875,0.654296875,0.6570576540755467,0.6455078125,0.6512315270935961,0.6542701681934583
liar2_finance,7,77,emotion_aware,0.662109375,0.662109375,0.662426614481409,0.6611328125,0.6617790811339198,0.6621090527620819
liar2_finance,8,88,text_only,0.64892578125,0.64892578125,0.6508407517309595,0.642578125,0.6466830466830467,0.6489116349378359
liar2_finance,8,88,emotion_aware,0.66259765625,0.66259765625,0.6653426017874876,0.654296875,0.6597735105859183,0.6625744066246783
liar2_finance,9,99,text_only,0.6611328125,0.6611328125,0.6620825147347741,0.658203125,0.6601371204701273,0.6611299039546352
liar2_finance,9,99,emotion_aware,0.67138671875,0.67138671875,0.6732477788746298,0.666015625,0.6696121747668139,0.6713772384276031
liar2_finance,10,110,text_only,0.65576171875,0.65576171875,0.6587064676616915,0.646484375,0.6525381961557417,0.6557320879182191
liar2_finance,10,110,emotion_aware,0.66357421875,0.66357421875,0.6669990029910269,0.6533203125,0.6600888011840158,0.663538842351312
factors_finance,1,11,text_only,0.6360153256704981,0.6360153256704981,0.6448979591836734,0.6053639846743295,0.6245059288537549,0.6356730387763199
factors_finance,1,11,emotion_aware,0.6379310344827587,0.6379310344827587,0.6475409836065574,0.6053639846743295,0.6257425742574257,0.6375466118040376
factors_finance,2,22,text_only,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138
factors_finance,2,22,emotion_aware,0.6340996168582376,0.6340996168582376,0.6434426229508197,0.6015325670498084,0.6217821782178218,0.6337111262146623
factors_finance,3,33,text_only,0.603448275862069,0.603448275862069,0.6088709677419355,0.578544061302682,0.593320235756385,0.6032021739529589
factors_finance,3,33,emotion_aware,0.6187739463601533,0.6187739463601531,0.6270491803278688,0.5862068965517241,0.6059405940594059,0.6183691838571612
factors_finance,4,44,text_only,0.6130268199233716,0.6130268199233716,0.6130268199233716,0.6130268199233716,0.6130268199233716,0.6130268199233716
factors_finance,4,44,emotion_aware,0.6494252873563219,0.6494252873563218,0.65234375,0.6398467432950191,0.6460348162475822,0.6493931196987437
factors_finance,5,55,text_only,0.5977011494252874,0.5977011494252873,0.6049382716049383,0.5632183908045977,0.5833333333333334,0.5972222222222223
factors_finance,5,55,emotion_aware,0.6149425287356322,0.6149425287356323,0.6229508196721312,0.5823754789272031,0.601980198019802,0.614533698267786
factors_finance,6,66,text_only,0.6264367816091954,0.6264367816091954,0.6299212598425197,0.6130268199233716,0.6213592233009708,0.6263695927468937
factors_finance,6,66,emotion_aware,0.6532567049808429,0.6532567049808429,0.66,0.632183908045977,0.6457925636007827,0.6531026607872581
factors_finance,7,77,text_only,0.6187739463601533,0.6187739463601533,0.6291666666666667,0.578544061302682,0.6027944111776448,0.6181559532867966
factors_finance,7,77,emotion_aware,0.6168582375478927,0.6168582375478927,0.6196078431372549,0.6053639846743295,0.6124031007751938,0.6168076109936576
factors_finance,8,88,text_only,0.6226053639846744,0.6226053639846744,0.6230769230769231,0.6206896551724138,0.6218809980806143,0.6226039789638254
factors_finance,8,88,emotion_aware,0.6187739463601533,0.6187739463601533,0.62109375,0.6091954022988506,0.6150870406189555,0.6187389662297813
factors_finance,9,99,text_only,0.6130268199233716,0.6130268199233717,0.6213991769547325,0.578544061302682,0.5992063492063492,0.6125661375661375
factors_finance,9,99,emotion_aware,0.6302681992337165,0.6302681992337165,0.6338582677165354,0.6168582375478927,0.625242718446602,0.6302016994879512
factors_finance,10,110,text_only,0.6283524904214559,0.6283524904214559,0.6345381526104418,0.6053639846743295,0.6196078431372549,0.6281559814937211
factors_finance,10,110,emotion_aware,0.6264367816091954,0.6264367816091954,0.6341463414634146,0.5977011494252874,0.6153846153846154,0.6261280618822518
