dataset,model,classifier,representation,C,affect_weight,selected_outer_folds
factors_finance,emotion_aware,linear_svm,word_char,1.0,0.1,4
factors_finance,emotion_aware,linear_svm,word_char,0.1,0.25,3
factors_finance,emotion_aware,logistic_regression,word,0.1,0.05,3
factors_finance,emotion_aware,logistic_regression,word_char,0.1,0.05,3
factors_finance,emotion_aware,logistic_regression,word_char,1.0,0.1,3
factors_finance,emotion_aware,logistic_regression,word_char,1.0,0.5,3
factors_finance,emotion_aware,linear_svm,word,0.1,0.25,2
factors_finance,emotion_aware,linear_svm,word_char,1.0,0.5,2
factors_finance,emotion_aware,logistic_regression,word,1.0,0.1,2
factors_finance,emotion_aware,logistic_regression,word,1.0,0.25,2
factors_finance,emotion_aware,logistic_regression,word_char,0.1,0.1,2
factors_finance,emotion_aware,logistic_regression,word_char,1.0,0.25,2
factors_finance,emotion_aware,logistic_regression,word_char,10.0,0.25,2
factors_finance,emotion_aware,linear_svm,word,0.1,0.05,1
factors_finance,emotion_aware,linear_svm,word,0.1,0.5,1
factors_finance,emotion_aware,linear_svm,word,0.1,1.0,1
factors_finance,emotion_aware,linear_svm,word,1.0,0.1,1
factors_finance,emotion_aware,linear_svm,word,1.0,0.25,1
factors_finance,emotion_aware,linear_svm,word_char,0.1,0.5,1
factors_finance,emotion_aware,linear_svm,word_char,1.0,1.0,1
factors_finance,emotion_aware,linear_svm,word_char,10.0,0.5,1
factors_finance,emotion_aware,linear_svm,word_char,10.0,1.0,1
factors_finance,emotion_aware,logistic_regression,word,1.0,0.5,1
factors_finance,emotion_aware,logistic_regression,word,10.0,0.05,1
factors_finance,emotion_aware,logistic_regression,word,10.0,0.1,1
factors_finance,emotion_aware,logistic_regression,word,10.0,1.0,1
factors_finance,emotion_aware,logistic_regression,word_char,0.1,0.25,1
factors_finance,emotion_aware,logistic_regression,word_char,1.0,0.05,1
factors_finance,emotion_aware,logistic_regression,word_char,1.0,1.0,1
factors_finance,emotion_aware,logistic_regression,word_char,10.0,1.0,1
factors_finance,text_only,logistic_regression,word_char,0.1,,16
factors_finance,text_only,logistic_regression,word,0.1,,8
factors_finance,text_only,logistic_regression,word,1.0,,6
factors_finance,text_only,linear_svm,word,0.1,,5
factors_finance,text_only,linear_svm,word_char,1.0,,5
factors_finance,text_only,linear_svm,word_char,0.1,,4
factors_finance,text_only,logistic_regression,word_char,1.0,,2
factors_finance,text_only,logistic_regression,word_char,10.0,,2
factors_finance,text_only,linear_svm,word_char,10.0,,1
factors_finance,text_only,logistic_regression,word,10.0,,1
liar2_finance,emotion_aware,logistic_regression,word_char,0.1,0.05,13
liar2_finance,emotion_aware,linear_svm,word_char,0.1,0.1,6
liar2_finance,emotion_aware,linear_svm,word,0.1,0.1,4
liar2_finance,emotion_aware,linear_svm,word_char,0.1,0.25,4
liar2_finance,emotion_aware,logistic_regression,word_char,0.1,0.1,4
liar2_finance,emotion_aware,linear_svm,word,0.1,0.05,3
liar2_finance,emotion_aware,linear_svm,word,0.1,0.25,2
liar2_finance,emotion_aware,linear_svm,word_char,0.1,0.05,2
liar2_finance,emotion_aware,linear_svm,word_char,0.1,1.0,2
liar2_finance,emotion_aware,logistic_regression,word_char,1.0,0.1,2
liar2_finance,emotion_aware,linear_svm,word,0.1,0.5,1
liar2_finance,emotion_aware,linear_svm,word,1.0,0.25,1
liar2_finance,emotion_aware,logistic_regression,word,0.1,0.05,1
liar2_finance,emotion_aware,logistic_regression,word,1.0,0.05,1
liar2_finance,emotion_aware,logistic_regression,word,1.0,0.1,1
liar2_finance,emotion_aware,logistic_regression,word,1.0,0.25,1
liar2_finance,emotion_aware,logistic_regression,word_char,1.0,0.05,1
liar2_finance,emotion_aware,logistic_regression,word_char,1.0,0.25,1
liar2_finance,text_only,logistic_regression,word_char,0.1,,19
liar2_finance,text_only,linear_svm,word_char,0.1,,10
liar2_finance,text_only,logistic_regression,word,1.0,,8
liar2_finance,text_only,linear_svm,word,0.1,,4
liar2_finance,text_only,logistic_regression,word,0.1,,4
liar2_finance,text_only,logistic_regression,word_char,1.0,,4
liar2_finance,text_only,logistic_regression,word_char,10.0,,1
