dataset,repetition,outer_seed,outer_fold,model,candidate_index,classifier,representation,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected,evaluation_stage
liar2_finance,1,11,0,text_only,1,logistic_regression,word,0.1,,0.6547251450135028,0.65478515625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,text_only,2,logistic_regression,word,1.0,,0.6610694595471107,0.6611328125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,text_only,3,logistic_regression,word,10.0,,0.6342312117364427,0.63427734375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,text_only,4,logistic_regression,word_char,0.1,,0.6596678876085014,0.65966796875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,text_only,5,logistic_regression,word_char,1.0,,0.6611004925243877,0.6611328125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,text_only,6,logistic_regression,word_char,10.0,,0.6474202517036973,0.6474609375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,text_only,7,linear_svm,word,0.1,,0.662046204620462,0.662109375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,text_only,8,linear_svm,word,1.0,,0.6298400980490341,0.6298828125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,text_only,9,linear_svm,word,10.0,,0.6157225646311199,0.61572265625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,text_only,10,linear_svm,word_char,0.1,,0.6630470549522869,0.6630859375,True,rfc_complete_source_tuning
liar2_finance,1,11,0,text_only,11,linear_svm,word_char,1.0,,0.6381641833642142,0.63818359375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,text_only,12,linear_svm,word_char,10.0,,0.6210923045818504,0.62109375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,1,logistic_regression,word,0.1,0.05,0.658662027595511,0.65869140625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,2,logistic_regression,word,0.1,0.1,0.638671875,0.638671875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,3,logistic_regression,word,0.1,0.25,0.6245094806520978,0.62451171875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,4,logistic_regression,word,0.1,0.5,0.6224072615162394,0.62255859375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,5,logistic_regression,word,0.1,1.0,0.6182911390139452,0.61865234375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,6,logistic_regression,word,1.0,0.05,0.6698963752807596,0.669921875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,7,logistic_regression,word,1.0,0.1,0.6669299299872185,0.6669921875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,8,logistic_regression,word,1.0,0.25,0.6625100310859329,0.66259765625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,9,logistic_regression,word,1.0,0.5,0.6521832052911386,0.65234375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,10,logistic_regression,word,1.0,1.0,0.6521682710794459,0.65234375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,11,logistic_regression,word,10.0,0.05,0.6445095525849966,0.64453125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,12,logistic_regression,word,10.0,0.1,0.6435329304767137,0.6435546875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,13,logistic_regression,word,10.0,0.25,0.6406082056065319,0.640625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,14,logistic_regression,word,10.0,0.5,0.6425696031952666,0.642578125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,15,logistic_regression,word,10.0,1.0,0.6425696031952666,0.642578125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,16,logistic_regression,word_char,0.1,0.05,0.6650234090300011,0.6650390625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,17,logistic_regression,word_char,0.1,0.1,0.6601403683453073,0.66015625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,18,logistic_regression,word_char,0.1,0.25,0.6513269525158447,0.6513671875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,19,logistic_regression,word_char,0.1,0.5,0.6517158828733229,0.65185546875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,20,logistic_regression,word_char,0.1,1.0,0.6398171805689089,0.64013671875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,21,logistic_regression,word_char,1.0,0.05,0.668891947497489,0.6689453125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,22,logistic_regression,word_char,1.0,0.1,0.6713377442574885,0.67138671875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,23,logistic_regression,word_char,1.0,0.25,0.6678661237946601,0.66796875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,24,logistic_regression,word_char,1.0,0.5,0.6659123951110992,0.666015625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,25,logistic_regression,word_char,1.0,1.0,0.6624990848014073,0.66259765625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,26,logistic_regression,word_char,10.0,0.05,0.6430356826499549,0.64306640625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,27,logistic_regression,word_char,10.0,0.1,0.6513269525158447,0.6513671875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,28,logistic_regression,word_char,10.0,0.25,0.6513109889575327,0.6513671875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,29,logistic_regression,word_char,10.0,0.5,0.6498414836982765,0.64990234375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,30,logistic_regression,word_char,10.0,1.0,0.6498414836982765,0.64990234375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,31,linear_svm,word,0.1,0.05,0.6669718610755051,0.6669921875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,32,linear_svm,word,0.1,0.1,0.6645084679077919,0.66455078125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,33,linear_svm,word,0.1,0.25,0.6576030870977012,0.65771484375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,34,linear_svm,word,0.1,0.5,0.6530966695295353,0.6533203125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,35,linear_svm,word,0.1,1.0,0.6530609128529327,0.6533203125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,36,linear_svm,word,1.0,0.05,0.6351703163800337,0.63525390625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,37,linear_svm,word,1.0,0.1,0.632216802974616,0.63232421875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,38,linear_svm,word,1.0,0.25,0.6327228327228327,0.6328125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,39,linear_svm,word,1.0,0.5,0.6336881025902258,0.6337890625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,40,linear_svm,word,1.0,1.0,0.6332055475333366,0.63330078125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,41,linear_svm,word,10.0,0.05,0.6210500212217024,0.62109375,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,42,linear_svm,word,10.0,0.1,0.621534297858135,0.62158203125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,43,linear_svm,word,10.0,0.25,0.6200809555965039,0.6201171875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,44,linear_svm,word,10.0,0.5,0.6220266964247393,0.6220703125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,45,linear_svm,word,10.0,1.0,0.6220184046271002,0.6220703125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,46,linear_svm,word_char,0.1,0.05,0.6718045769022016,0.671875,True,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,47,linear_svm,word_char,0.1,0.1,0.6688540447415641,0.6689453125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,48,linear_svm,word_char,0.1,0.25,0.6658470469358722,0.666015625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,49,linear_svm,word_char,0.1,0.5,0.6639343011097373,0.6640625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,50,linear_svm,word_char,0.1,1.0,0.6634521748442501,0.66357421875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,51,linear_svm,word_char,1.0,0.05,0.6410310341891898,0.64111328125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,52,linear_svm,word_char,1.0,0.1,0.6405259246752082,0.640625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,53,linear_svm,word_char,1.0,0.25,0.6391146401511765,0.63916015625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,54,linear_svm,word_char,1.0,0.5,0.6386222473178995,0.638671875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,55,linear_svm,word_char,1.0,1.0,0.6386222473178995,0.638671875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,56,linear_svm,word_char,10.0,0.05,0.6230238662027712,0.623046875,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,57,linear_svm,word_char,10.0,0.1,0.6249567220338499,0.625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,58,linear_svm,word_char,10.0,0.25,0.6254488999759887,0.62548828125,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,59,linear_svm,word_char,10.0,0.5,0.627409337704399,0.62744140625,False,rfc_complete_source_tuning
liar2_finance,1,11,0,emotion_aware,60,linear_svm,word_char,10.0,1.0,0.6274022303542104,0.62744140625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,1,logistic_regression,word,0.1,,0.6493806248307066,0.6494140625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,2,logistic_regression,word,1.0,,0.6493976788389808,0.6494140625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,3,logistic_regression,word,10.0,,0.6342228387055853,0.63427734375,False,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,4,logistic_regression,word_char,0.1,,0.6479471203513166,0.64794921875,False,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,5,logistic_regression,word_char,1.0,,0.6498782193196734,0.64990234375,False,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,6,logistic_regression,word_char,10.0,,0.6401325145943678,0.64013671875,False,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,7,linear_svm,word,0.1,,0.6503786217025578,0.650390625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,8,linear_svm,word,1.0,,0.6322603029634619,0.63232421875,False,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,9,linear_svm,word,10.0,,0.6113099614983686,0.611328125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,10,linear_svm,word_char,0.1,,0.652822015634511,0.65283203125,True,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,11,linear_svm,word_char,1.0,,0.6362262189590284,0.63623046875,False,rfc_complete_source_tuning
liar2_finance,2,22,0,text_only,12,linear_svm,word_char,10.0,,0.6327900872856009,0.6328125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,1,logistic_regression,word,0.1,0.05,0.6572213321126116,0.6572265625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,2,logistic_regression,word,0.1,0.1,0.6298739880082133,0.6298828125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,3,logistic_regression,word,0.1,0.25,0.6245008861082122,0.62451171875,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,4,logistic_regression,word,0.1,0.5,0.6176355784631019,0.61767578125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,5,logistic_regression,word,0.1,1.0,0.6117155929280993,0.61181640625,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,6,logistic_regression,word,1.0,0.05,0.6576964811583187,0.65771484375,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,7,logistic_regression,word,1.0,0.1,0.6566871236448951,0.65673828125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,8,logistic_regression,word,1.0,0.25,0.6581196581196581,0.658203125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,9,logistic_regression,word,1.0,0.5,0.6527624066314643,0.65283203125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,10,logistic_regression,word,1.0,1.0,0.6517650537833142,0.65185546875,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,11,logistic_regression,word,10.0,0.05,0.6410508933308692,0.64111328125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,12,logistic_regression,word,10.0,0.1,0.6381455474344297,0.63818359375,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,13,logistic_regression,word,10.0,0.25,0.6435271508209386,0.6435546875,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,14,logistic_regression,word,10.0,0.5,0.6444902260945868,0.64453125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,15,logistic_regression,word,10.0,1.0,0.6449822037582058,0.64501953125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,16,logistic_regression,word_char,0.1,0.05,0.6606379775228928,0.66064453125,False,rfc_complete_source_tuning
liar2_finance,2,22,0,emotion_aware,17,logistic_regression,word_char,0.1,0.1,0.6557550707246611,0.65576171875,False,rfc_complete_source_tuning
