dataset,repetition,seed,model,classifier,representation,C,affect_weight,scope,subset,manipulation_category,rows,detected_misleading,missed_misleading,misleading_recall
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,overall,all,all,1123,541,582,0.4817453250222618
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,overall_non_sentiment,all,non_sentiment,917,449,468,0.48964013086150493
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset,hard_case,all,123,44,79,0.35772357723577236
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,hard_case,non_sentiment,70,27,43,0.38571428571428573
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset,main,all,1000,497,503,0.497
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,main,non_sentiment,847,422,425,0.4982290436835891
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,category,all,causal,231,126,105,0.5454545454545454
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,category,all,flipping,313,145,168,0.46325878594249204
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,category,all,numerical,373,178,195,0.4772117962466488
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,category,all,sentiment,206,92,114,0.44660194174757284
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,causal,43,20,23,0.46511627906976744
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,flipping,7,3,4,0.42857142857142855
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,numerical,20,4,16,0.2
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset_category,hard_case,sentiment,53,17,36,0.32075471698113206
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset_category,main,causal,188,106,82,0.5638297872340425
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset_category,main,flipping,306,142,164,0.46405228758169936
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset_category,main,numerical,353,174,179,0.49291784702549574
liar2_finance,1,11,text_only,linear_svm,word_char,0.1,,subset_category,main,sentiment,153,75,78,0.49019607843137253
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,overall,all,all,1123,442,681,0.3935886019590383
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,overall_non_sentiment,all,non_sentiment,917,373,544,0.40676117775354415
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset,hard_case,all,123,30,93,0.24390243902439024
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset_non_sentiment,hard_case,non_sentiment,70,18,52,0.2571428571428571
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset,main,all,1000,412,588,0.412
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset_non_sentiment,main,non_sentiment,847,355,492,0.41912632821723733
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,category,all,causal,231,98,133,0.42424242424242425
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,category,all,flipping,313,147,166,0.4696485623003195
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,category,all,numerical,373,128,245,0.34316353887399464
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,category,all,sentiment,206,69,137,0.33495145631067963
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,hard_case,causal,43,15,28,0.3488372093023256
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,hard_case,flipping,7,3,4,0.42857142857142855
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,hard_case,numerical,20,0,20,0.0
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,hard_case,sentiment,53,12,41,0.22641509433962265
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,main,causal,188,83,105,0.44148936170212766
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,main,flipping,306,144,162,0.47058823529411764
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,main,numerical,353,128,225,0.3626062322946176
liar2_finance,1,11,emotion_aware,linear_svm,word_char,0.1,0.05,subset_category,main,sentiment,153,57,96,0.37254901960784315
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,overall,all,all,1123,541,582,0.4817453250222618
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,overall_non_sentiment,all,non_sentiment,917,449,468,0.48964013086150493
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset,hard_case,all,123,44,79,0.35772357723577236
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,hard_case,non_sentiment,70,27,43,0.38571428571428573
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset,main,all,1000,497,503,0.497
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,subset_non_sentiment,main,non_sentiment,847,422,425,0.4982290436835891
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,category,all,causal,231,126,105,0.5454545454545454
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,category,all,flipping,313,145,168,0.46325878594249204
liar2_finance,2,22,text_only,linear_svm,word_char,0.1,,category,all,numerical,373,178,195,0.4772117962466488
