dataset,model,scope,subset,manipulation_category,repetitions,rows,misleading_recall_mean,misleading_recall_std,misleading_recall_min,misleading_recall_max
factors_finance,emotion_aware,category,all,causal,10,231,0.225974025974026,0.02233624539208005,0.20346320346320346,0.2727272727272727
factors_finance,emotion_aware,category,all,flipping,10,313,0.34153354632587857,0.09172847351991044,0.19488817891373802,0.4472843450479233
factors_finance,emotion_aware,category,all,numerical,10,373,0.31501340482573725,0.023584706381405987,0.28150134048257375,0.35924932975871315
factors_finance,emotion_aware,category,all,sentiment,10,206,0.34805825242718447,0.04816736548176518,0.2621359223300971,0.4174757281553398
factors_finance,emotion_aware,overall,all,all,10,1123,0.31015138023152267,0.024165373672292174,0.26714158504007124,0.3419412288512912
factors_finance,emotion_aware,overall_non_sentiment,all,non_sentiment,10,917,0.30163576881134135,0.03560560093138642,0.24427480916030533,0.3478735005452563
factors_finance,emotion_aware,subset,hard_case,all,10,123,0.23902439024390243,0.02948828294576791,0.17886178861788618,0.2682926829268293
factors_finance,emotion_aware,subset,main,all,10,1000,0.3189,0.029236392846359583,0.267,0.356
factors_finance,emotion_aware,subset_category,hard_case,causal,10,43,0.16744186046511628,0.02858773475129578,0.13953488372093023,0.20930232558139536
factors_finance,emotion_aware,subset_category,hard_case,flipping,10,7,0.22857142857142856,0.07377111135633174,0.14285714285714285,0.2857142857142857
factors_finance,emotion_aware,subset_category,hard_case,numerical,10,20,0.28500000000000003,0.033747427885527634,0.25,0.35
factors_finance,emotion_aware,subset_category,hard_case,sentiment,10,53,0.2811320754716981,0.07827599278853874,0.1320754716981132,0.37735849056603776
factors_finance,emotion_aware,subset_category,main,causal,10,188,0.2393617021276596,0.025199770219063635,0.21808510638297873,0.2872340425531915
factors_finance,emotion_aware,subset_category,main,flipping,10,306,0.34411764705882353,0.09506565343329594,0.19281045751633988,0.4542483660130719
factors_finance,emotion_aware,subset_category,main,numerical,10,353,0.31671388101983006,0.024215026137600914,0.28328611898017,0.3597733711048159
factors_finance,emotion_aware,subset_category,main,sentiment,10,153,0.3712418300653595,0.039672957351076406,0.30718954248366015,0.43137254901960786
factors_finance,emotion_aware,subset_non_sentiment,hard_case,non_sentiment,10,70,0.20714285714285713,0.016835875742536845,0.18571428571428572,0.22857142857142856
factors_finance,emotion_aware,subset_non_sentiment,main,non_sentiment,10,847,0.30944510035419126,0.03802333185282277,0.24675324675324675,0.3577331759149941
factors_finance,text_only,category,all,causal,10,231,0.30952380952380953,0.04281849963912783,0.2554112554112554,0.36363636363636365
factors_finance,text_only,category,all,flipping,10,313,0.4482428115015974,0.03947694872361954,0.3610223642172524,0.4984025559105431
factors_finance,text_only,category,all,numerical,10,373,0.4126005361930295,0.03635430039404329,0.3753351206434316,0.4584450402144772
factors_finance,text_only,category,all,sentiment,10,206,0.35194174757281554,0.04823255197666304,0.28640776699029125,0.4029126213592233
factors_finance,text_only,overall,all,all,10,1123,0.39020480854853073,0.023223702699314737,0.3428317008014248,0.42030276046304543
factors_finance,text_only,overall_non_sentiment,all,non_sentiment,10,917,0.3988004362050164,0.021883132801456852,0.3489640130861505,0.430752453653217
factors_finance,text_only,subset,hard_case,all,10,123,0.2552845528455284,0.03537597587442975,0.2032520325203252,0.3333333333333333
factors_finance,text_only,subset,main,all,10,1000,0.40679999999999994,0.022851209547369203,0.36,0.431
factors_finance,text_only,subset_category,hard_case,causal,10,43,0.24186046511627907,0.022467250769285952,0.20930232558139536,0.27906976744186046
factors_finance,text_only,subset_category,hard_case,flipping,10,7,0.21428571428571427,0.07529232524210427,0.14285714285714285,0.2857142857142857
factors_finance,text_only,subset_category,hard_case,numerical,10,20,0.32999999999999996,0.05374838498865701,0.25,0.45
factors_finance,text_only,subset_category,hard_case,sentiment,10,53,0.24339622641509434,0.06441553524060058,0.1509433962264151,0.33962264150943394
factors_finance,text_only,subset_category,main,causal,10,188,0.325,0.0509238872400294,0.26595744680851063,0.3882978723404255
factors_finance,text_only,subset_category,main,flipping,10,306,0.45359477124183006,0.0412450006664897,0.3627450980392157,0.5032679738562091
factors_finance,text_only,subset_category,main,numerical,10,353,0.4172804532577904,0.03605767291654729,0.37960339943342775,0.46458923512747874
factors_finance,text_only,subset_category,main,sentiment,10,153,0.3895424836601307,0.05157466049298579,0.3333333333333333,0.45098039215686275
factors_finance,text_only,subset_non_sentiment,hard_case,non_sentiment,10,70,0.2642857142857143,0.02796985743921603,0.22857142857142856,0.32857142857142857
factors_finance,text_only,subset_non_sentiment,main,non_sentiment,10,847,0.40991735537190077,0.02274953719819273,0.3577331759149941,0.43919716646989376
liar2_finance,emotion_aware,category,all,causal,10,231,0.37922077922077924,0.030351092236963733,0.3203463203463203,0.42424242424242425
liar2_finance,emotion_aware,category,all,flipping,10,313,0.4801916932907348,0.08142682998479647,0.36421725239616615,0.5878594249201278
liar2_finance,emotion_aware,category,all,numerical,10,373,0.2836461126005362,0.04122065650141034,0.23056300268096513,0.34316353887399464
liar2_finance,emotion_aware,category,all,sentiment,10,206,0.34805825242718447,0.02930992047578131,0.28640776699029125,0.3786407766990291
liar2_finance,emotion_aware,overall,all,all,10,1123,0.36990204808548527,0.03390868130809772,0.30365093499554763,0.402493321460374
liar2_finance,emotion_aware,overall_non_sentiment,all,non_sentiment,10,917,0.3748091603053435,0.03678780836678699,0.3075245365321701,0.4078516902944384
liar2_finance,emotion_aware,subset,hard_case,all,10,123,0.24796747967479674,0.014966613844427202,0.22764227642276422,0.2682926829268293
liar2_finance,emotion_aware,subset,main,all,10,1000,0.38489999999999996,0.03656181979424255,0.313,0.419
liar2_finance,emotion_aware,subset_category,hard_case,causal,10,43,0.31627906976744186,0.03829174894644487,0.27906976744186046,0.3953488372093023
liar2_finance,emotion_aware,subset_category,hard_case,flipping,10,7,0.5142857142857142,0.07377111135633174,0.42857142857142855,0.5714285714285714
liar2_finance,emotion_aware,subset_category,hard_case,numerical,10,20,0.0,0.0,0.0,0.0
liar2_finance,emotion_aware,subset_category,hard_case,sentiment,10,53,0.2509433962264151,0.05035375824213356,0.18867924528301888,0.32075471698113206
liar2_finance,emotion_aware,subset_category,main,causal,10,188,0.39361702127659576,0.03710718002917791,0.3191489361702128,0.44148936170212766
liar2_finance,emotion_aware,subset_category,main,flipping,10,306,0.4794117647058823,0.0822862002037879,0.3627450980392157,0.5882352941176471
liar2_finance,emotion_aware,subset_category,main,numerical,10,353,0.29971671388101984,0.04355610446183019,0.24362606232294617,0.3626062322946176
liar2_finance,emotion_aware,subset_category,main,sentiment,10,153,0.3816993464052288,0.026895510870607358,0.3137254901960784,0.40522875816993464
liar2_finance,emotion_aware,subset_non_sentiment,hard_case,non_sentiment,10,70,0.2457142857142857,0.01756103706151026,0.22857142857142856,0.2857142857142857
liar2_finance,emotion_aware,subset_non_sentiment,main,non_sentiment,10,847,0.38547815820543097,0.04025437336772687,0.31286894923258557,0.42266824085005905
liar2_finance,text_only,category,all,causal,10,231,0.5554112554112554,0.02508084290841786,0.5281385281385281,0.6017316017316018
liar2_finance,text_only,category,all,flipping,10,313,0.48083067092651766,0.04144470441382333,0.4504792332268371,0.5591054313099042
liar2_finance,text_only,category,all,numerical,10,373,0.4815013404825737,0.02711179165717429,0.4316353887399464,0.5254691689008043
liar2_finance,text_only,category,all,sentiment,10,206,0.4733009708737864,0.05531283053442461,0.4368932038834951,0.5776699029126213
liar2_finance,text_only,overall,all,all,10,1123,0.495013357079252,0.03473335276929393,0.46482635796972394,0.560106856634016
liar2_finance,text_only,overall_non_sentiment,all,non_sentiment,10,917,0.4998909487459106,0.030582779963963448,0.46564885496183206,0.5561613958560524
liar2_finance,text_only,subset,hard_case,all,10,123,0.3821138211382114,0.05580287339288346,0.34959349593495936,0.4878048780487805
liar2_finance,text_only,subset,main,all,10,1000,0.5088999999999999,0.03218850726579285,0.479,0.569
liar2_finance,text_only,subset_category,hard_case,causal,10,43,0.48372093023255813,0.03922204849821247,0.46511627906976744,0.5581395348837209
liar2_finance,text_only,subset_category,hard_case,flipping,10,7,0.45714285714285713,0.06023386019368342,0.42857142857142855,0.5714285714285714
liar2_finance,text_only,subset_category,hard_case,numerical,10,20,0.2,0.03333333333333334,0.15,0.25
liar2_finance,text_only,subset_category,hard_case,sentiment,10,53,0.3584905660377359,0.07955415497278942,0.32075471698113206,0.5094339622641509
liar2_finance,text_only,subset_category,main,causal,10,188,0.5718085106382979,0.0221808439772993,0.5425531914893617,0.6117021276595744
liar2_finance,text_only,subset_category,main,flipping,10,306,0.4813725490196078,0.041021425426738464,0.45098039215686275,0.5588235294117647
liar2_finance,text_only,subset_category,main,numerical,10,353,0.4974504249291785,0.026914666154356667,0.4475920679886686,0.5410764872521246
liar2_finance,text_only,subset_category,main,sentiment,10,153,0.5130718954248366,0.04715655952486571,0.477124183006536,0.6013071895424836
liar2_finance,text_only,subset_non_sentiment,hard_case,non_sentiment,10,70,0.4,0.038095238095238085,0.37142857142857144,0.4714285714285714
liar2_finance,text_only,subset_non_sentiment,main,non_sentiment,10,847,0.50814639905549,0.02999841787609397,0.4734356552538371,0.5631641086186541
