dataset,repetition,seed,model,scope,subset,manipulation_category,rows,misleading_recall,mean_probability_misleading
liar2_finance,1,11,text_only,overall,all,all,1123,0.17186108637577915,0.34920013211634365
liar2_finance,1,11,text_only,overall_non_sentiment,all,non_sentiment,917,0.17884405670665213,0.35212725612173423
liar2_finance,1,11,text_only,subset,hard_case,all,123,0.12195121951219512,0.3286296138918497
liar2_finance,1,11,text_only,subset,main,all,1000,0.178,0.3517303058579564
liar2_finance,1,11,text_only,category,all,causal,231,0.06926406926406926,0.29438103000064947
liar2_finance,1,11,text_only,category,all,flipping,313,0.2364217252396166,0.3890897616648826
liar2_finance,1,11,text_only,category,all,numerical,373,0.19839142091152814,0.35687287005997853
liar2_finance,1,11,text_only,category,all,sentiment,206,0.1407766990291262,0.33617016749040596
liar2_finance,1,11,emotion_aware,overall,all,all,1123,0.6571682991985752,0.5909596306163211
liar2_finance,1,11,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.6368593238822247,0.582851042381956
liar2_finance,1,11,emotion_aware,subset,hard_case,all,123,0.6016260162601627,0.5673016750715613
liar2_finance,1,11,emotion_aware,subset,main,all,1000,0.664,0.5938695591483265
liar2_finance,1,11,emotion_aware,category,all,causal,231,0.6233766233766234,0.5661569013465921
liar2_finance,1,11,emotion_aware,category,all,flipping,313,0.5846645367412141,0.5654657853963657
liar2_finance,1,11,emotion_aware,category,all,numerical,373,0.6890080428954424,0.6077784740593254
liar2_finance,1,11,emotion_aware,category,all,sentiment,206,0.7475728155339806,0.6270546568828879
liar2_finance,2,22,text_only,overall,all,all,1123,0.5218165627782725,0.5122885028479202
liar2_finance,2,22,text_only,overall_non_sentiment,all,non_sentiment,917,0.549618320610687,0.5233962673454209
liar2_finance,2,22,text_only,subset,hard_case,all,123,0.43902439024390244,0.47169450216177033
liar2_finance,2,22,text_only,subset,main,all,1000,0.532,0.5172815649323166
liar2_finance,2,22,text_only,category,all,causal,231,0.42424242424242425,0.4691374637992867
liar2_finance,2,22,text_only,category,all,flipping,313,0.6996805111821086,0.5772923903343395
liar2_finance,2,22,text_only,category,all,numerical,373,0.5013404825737265,0.5117723990441487
liar2_finance,2,22,text_only,category,all,sentiment,206,0.39805825242718446,0.46284277447797717
liar2_finance,2,22,emotion_aware,overall,all,all,1123,0.43544078361531613,0.46505574192702503
liar2_finance,2,22,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.47110141766630315,0.4838526528917716
liar2_finance,2,22,emotion_aware,subset,hard_case,all,123,0.34146341463414637,0.4054378891984622
liar2_finance,2,22,emotion_aware,subset,main,all,1000,0.447,0.4723887378126383
liar2_finance,2,22,emotion_aware,category,all,causal,231,0.2857142857142857,0.38516238412428727
liar2_finance,2,22,emotion_aware,category,all,flipping,313,0.7348242811501597,0.6253299361195999
liar2_finance,2,22,emotion_aware,category,all,numerical,373,0.3646112600536193,0.42625228408474386
liar2_finance,2,22,emotion_aware,category,all,sentiment,206,0.2766990291262136,0.38138211399172117
liar2_finance,3,33,text_only,overall,all,all,1123,0.26714158504007124,0.31642660293072955
liar2_finance,3,33,text_only,overall_non_sentiment,all,non_sentiment,917,0.2889858233369684,0.332263263567039
liar2_finance,3,33,text_only,subset,hard_case,all,123,0.21138211382113822,0.27640489418801617
liar2_finance,3,33,text_only,subset,main,all,1000,0.274,0.3213492731060833
liar2_finance,3,33,text_only,category,all,causal,231,0.19047619047619047,0.23959046372442278
liar2_finance,3,33,text_only,category,all,flipping,313,0.329073482428115,0.37834831691397647
liar2_finance,3,33,text_only,category,all,numerical,373,0.3163538873994638,0.35098389377093425
liar2_finance,3,33,text_only,category,all,sentiment,206,0.16990291262135923,0.2459304000011383
liar2_finance,3,33,emotion_aware,overall,all,all,1123,0.40160284951024044,0.4397581754292122
liar2_finance,3,33,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.44383860414394766,0.46740421852870817
liar2_finance,3,33,emotion_aware,subset,hard_case,all,123,0.2926829268292683,0.3616834349960573
liar2_finance,3,33,emotion_aware,subset,main,all,1000,0.415,0.4493613685024902
liar2_finance,3,33,emotion_aware,category,all,causal,231,0.22943722943722944,0.34140213981706213
liar2_finance,3,33,emotion_aware,category,all,flipping,313,0.6677316293929713,0.6032040058233487
liar2_finance,3,33,emotion_aware,category,all,numerical,373,0.38873994638069703,0.43148235997419815
liar2_finance,3,33,emotion_aware,category,all,sentiment,206,0.21359223300970873,0.3166930224086402
liar2_finance,4,44,text_only,overall,all,all,1123,0.15048975957257346,0.3380580277100059
liar2_finance,4,44,text_only,overall_non_sentiment,all,non_sentiment,917,0.16902944383860413,0.35052439845050304
liar2_finance,4,44,text_only,subset,hard_case,all,123,0.0975609756097561,0.3015424589194903
liar2_finance,4,44,text_only,subset,main,all,1000,0.157,0.3425494426712394
liar2_finance,4,44,text_only,category,all,causal,231,0.07792207792207792,0.300751274927354
liar2_finance,4,44,text_only,category,all,flipping,313,0.2747603833865815,0.41347171154361184
liar2_finance,4,44,text_only,category,all,numerical,373,0.13672922252010725,0.3285273006909974
liar2_finance,4,44,text_only,category,all,sentiment,206,0.06796116504854369,0.2825645230059485
liar2_finance,4,44,emotion_aware,overall,all,all,1123,0.4968833481745325,0.5049343485574264
liar2_finance,4,44,emotion_aware,overall_non_sentiment,all,non_sentiment,917,0.5070883315158125,0.5077430233196838
liar2_finance,4,44,emotion_aware,subset,hard_case,all,123,0.44715447154471544,0.4703519715041649
