dataset,model,scope,subset,manipulation_category,repetitions,rows,misleading_recall_mean,misleading_recall_std,mean_probability_mean
factors_finance,emotion_aware,category,all,causal,10,231,0.5510822510822511,0.15051618735246602,0.5201217975854486
factors_finance,emotion_aware,category,all,flipping,10,313,0.3268370607028754,0.1689572679065449,0.44703306384122793
factors_finance,emotion_aware,category,all,numerical,10,373,0.585254691689008,0.15463099012589965,0.5305514773189143
factors_finance,emotion_aware,category,all,sentiment,10,206,0.654368932038835,0.14696975512735247,0.5543005071110227
factors_finance,emotion_aware,overall,all,all,10,1123,0.5188780053428317,0.1326295453207245,0.5094844966423586
factors_finance,emotion_aware,overall_non_sentiment,all,non_sentiment,10,917,0.4884405670665212,0.13552072543909163,0.49941677782388005
factors_finance,emotion_aware,subset,hard_case,all,10,123,0.5853658536585366,0.11930276803823925,0.5236425610213745
factors_finance,emotion_aware,subset,main,all,10,1000,0.5107,0.13536456946581946,0.5077430547237396
factors_finance,text_only,category,all,causal,10,231,0.4991341991341992,0.2690959759530345,0.5022075438589761
factors_finance,text_only,category,all,flipping,10,313,0.26517571884984026,0.136987492994381,0.42666507458534486
factors_finance,text_only,category,all,numerical,10,373,0.5490616621983915,0.2309775906896025,0.5195232514142191
factors_finance,text_only,category,all,sentiment,10,206,0.5771844660194174,0.24199947451735745,0.5306457811478272
factors_finance,text_only,overall,all,all,10,1123,0.46482635796972394,0.20541677981711112,0.49212049391860424
factors_finance,text_only,overall_non_sentiment,all,non_sentiment,10,917,0.43958560523446016,0.20005907556971111,0.48346595829241024
factors_finance,text_only,subset,hard_case,all,10,123,0.5040650406504066,0.21912710039819563,0.5046556291783728
factors_finance,text_only,subset,main,all,10,1000,0.4600000000000001,0.20412033487899023,0.49057867228165264
liar2_finance,emotion_aware,category,all,causal,10,231,0.3246753246753247,0.16178356615496636,0.3935058847420498
liar2_finance,emotion_aware,category,all,flipping,10,313,0.5779552715654952,0.14846550604448355,0.5358433968277452
liar2_finance,emotion_aware,category,all,numerical,10,373,0.4238605898123325,0.1284717329994898,0.4539883510659052
liar2_finance,emotion_aware,category,all,sentiment,10,206,0.3218446601941748,0.20618277652153513,0.3879245953005964
liar2_finance,emotion_aware,overall,all,all,10,1123,0.42769367764915406,0.1307846015257635,0.4522430669296556
liar2_finance,emotion_aware,overall_non_sentiment,all,non_sentiment,10,917,0.45147219193020716,0.11932131997215452,0.466691927513719
liar2_finance,emotion_aware,subset,hard_case,all,10,123,0.3544715447154472,0.1408797103200844,0.4078866849085543
liar2_finance,emotion_aware,subset,main,all,10,1000,0.4367,0.13017684552604242,0.4576989019182511
liar2_finance,text_only,category,all,causal,10,231,0.20259740259740258,0.11935637079884867,0.32955576961061783
liar2_finance,text_only,category,all,flipping,10,313,0.4769968051118211,0.19099416944954115,0.4892252268992697
liar2_finance,text_only,category,all,numerical,10,373,0.32117962466487937,0.1343743427335093,0.4013616252807905
liar2_finance,text_only,category,all,sentiment,10,206,0.18446601941747573,0.107114363517381,0.3162025740101156
liar2_finance,text_only,overall,all,all,10,1123,0.3151380231522707,0.13252747110170948,0.39545903408311917
liar2_finance,text_only,overall_non_sentiment,all,non_sentiment,10,917,0.34449291166848417,0.14002080051334298,0.4132636477963566
liar2_finance,text_only,subset,hard_case,all,10,123,0.23008130081300812,0.12454631204546245,0.34333194009543255
liar2_finance,text_only,subset,main,all,10,1000,0.3256,0.1340581963178679,0.40187066664360466
