pair_id,split,dataset,repetition,seed
test_pair_0059,train,liar2_finance,1,11
train_pair_0476,train,liar2_finance,1,11
validation_pair_0041,train,liar2_finance,1,11
train_pair_0331,train,liar2_finance,1,11
train_pair_0056,train,liar2_finance,1,11
train_pair_0757,train,liar2_finance,1,11
train_pair_0664,train,liar2_finance,1,11
train_pair_0037,train,liar2_finance,1,11
validation_pair_0015,train,liar2_finance,1,11
train_pair_0428,train,liar2_finance,1,11
train_pair_0760,train,liar2_finance,1,11
train_pair_0219,train,liar2_finance,1,11
train_pair_0145,train,liar2_finance,1,11
validation_pair_0107,train,liar2_finance,1,11
train_pair_0098,train,liar2_finance,1,11
train_pair_0765,train,liar2_finance,1,11
validation_pair_0030,train,liar2_finance,1,11
test_pair_0058,train,liar2_finance,1,11
train_pair_0730,train,liar2_finance,1,11
train_pair_0790,train,liar2_finance,1,11
train_pair_0774,train,liar2_finance,1,11
train_pair_0341,train,liar2_finance,1,11
train_pair_0138,train,liar2_finance,1,11
train_pair_0258,train,liar2_finance,1,11
train_pair_0629,train,liar2_finance,1,11
train_pair_0345,train,liar2_finance,1,11
train_pair_0339,train,liar2_finance,1,11
train_pair_0497,train,liar2_finance,1,11
train_pair_0267,train,liar2_finance,1,11
train_pair_0309,train,liar2_finance,1,11
train_pair_0412,train,liar2_finance,1,11
train_pair_0615,train,liar2_finance,1,11
train_pair_0611,train,liar2_finance,1,11
train_pair_0263,train,liar2_finance,1,11
train_pair_0177,train,liar2_finance,1,11
train_pair_0472,train,liar2_finance,1,11
train_pair_0436,train,liar2_finance,1,11
train_pair_0139,train,liar2_finance,1,11
train_pair_0089,train,liar2_finance,1,11
train_pair_0142,train,liar2_finance,1,11
train_pair_0458,train,liar2_finance,1,11
train_pair_0235,train,liar2_finance,1,11
train_pair_0439,train,liar2_finance,1,11
train_pair_0535,train,liar2_finance,1,11
train_pair_0753,train,liar2_finance,1,11
train_pair_0085,train,liar2_finance,1,11
train_pair_0571,train,liar2_finance,1,11
train_pair_0687,train,liar2_finance,1,11
train_pair_0487,train,liar2_finance,1,11
test_pair_0030,train,liar2_finance,1,11
train_pair_0358,train,liar2_finance,1,11
train_pair_0528,train,liar2_finance,1,11
train_pair_0537,train,liar2_finance,1,11
test_pair_0076,train,liar2_finance,1,11
train_pair_0168,train,liar2_finance,1,11
train_pair_0748,train,liar2_finance,1,11
train_pair_0684,train,liar2_finance,1,11
train_pair_0686,train,liar2_finance,1,11
train_pair_0714,train,liar2_finance,1,11
train_pair_0802,train,liar2_finance,1,11
validation_pair_0096,train,liar2_finance,1,11
train_pair_0030,train,liar2_finance,1,11
train_pair_0337,train,liar2_finance,1,11
train_pair_0525,train,liar2_finance,1,11
train_pair_0738,train,liar2_finance,1,11
test_pair_0094,train,liar2_finance,1,11
train_pair_0451,train,liar2_finance,1,11
train_pair_0625,train,liar2_finance,1,11
train_pair_0304,train,liar2_finance,1,11
train_pair_0745,train,liar2_finance,1,11
train_pair_0389,train,liar2_finance,1,11
train_pair_0375,train,liar2_finance,1,11
train_pair_0157,train,liar2_finance,1,11
train_pair_0273,train,liar2_finance,1,11
train_pair_0095,train,liar2_finance,1,11
train_pair_0543,train,liar2_finance,1,11
validation_pair_0102,train,liar2_finance,1,11
train_pair_0520,train,liar2_finance,1,11
train_pair_0749,train,liar2_finance,1,11
train_pair_0595,train,liar2_finance,1,11
train_pair_0702,train,liar2_finance,1,11
train_pair_0654,train,liar2_finance,1,11
train_pair_0632,train,liar2_finance,1,11
train_pair_0118,train,liar2_finance,1,11
train_pair_0265,train,liar2_finance,1,11
train_pair_0741,train,liar2_finance,1,11
train_pair_0793,train,liar2_finance,1,11
train_pair_0567,train,liar2_finance,1,11
train_pair_0280,train,liar2_finance,1,11
train_pair_0335,train,liar2_finance,1,11
train_pair_0801,train,liar2_finance,1,11
train_pair_0722,train,liar2_finance,1,11
train_pair_0307,train,liar2_finance,1,11
train_pair_0736,train,liar2_finance,1,11
train_pair_0490,train,liar2_finance,1,11
train_pair_0107,train,liar2_finance,1,11
train_pair_0154,train,liar2_finance,1,11
test_pair_0070,train,liar2_finance,1,11
test_pair_0023,train,liar2_finance,1,11
train_pair_0243,train,liar2_finance,1,11
train_pair_0151,train,liar2_finance,1,11
train_pair_0218,train,liar2_finance,1,11
train_pair_0613,train,liar2_finance,1,11
validation_pair_0009,train,liar2_finance,1,11
train_pair_0782,train,liar2_finance,1,11
train_pair_0329,train,liar2_finance,1,11
train_pair_0061,train,liar2_finance,1,11
train_pair_0038,train,liar2_finance,1,11
train_pair_0178,train,liar2_finance,1,11
train_pair_0426,train,liar2_finance,1,11
train_pair_0739,train,liar2_finance,1,11
train_pair_0334,train,liar2_finance,1,11
train_pair_0377,train,liar2_finance,1,11
train_pair_0564,train,liar2_finance,1,11
train_pair_0202,train,liar2_finance,1,11
train_pair_0672,train,liar2_finance,1,11
train_pair_0150,train,liar2_finance,1,11
train_pair_0086,train,liar2_finance,1,11
validation_pair_0085,train,liar2_finance,1,11
train_pair_0523,train,liar2_finance,1,11
validation_pair_0066,train,liar2_finance,1,11
train_pair_0051,train,liar2_finance,1,11
train_pair_0302,train,liar2_finance,1,11
test_pair_0051,train,liar2_finance,1,11
train_pair_0248,train,liar2_finance,1,11
train_pair_0354,train,liar2_finance,1,11
train_pair_0165,train,liar2_finance,1,11
train_pair_0587,train,liar2_finance,1,11
train_pair_0604,train,liar2_finance,1,11
train_pair_0630,train,liar2_finance,1,11
test_pair_0056,train,liar2_finance,1,11
train_pair_0781,train,liar2_finance,1,11
train_pair_0453,train,liar2_finance,1,11
train_pair_0068,train,liar2_finance,1,11
train_pair_0372,train,liar2_finance,1,11
train_pair_0292,train,liar2_finance,1,11
train_pair_0282,train,liar2_finance,1,11
train_pair_0556,train,liar2_finance,1,11
validation_pair_0099,train,liar2_finance,1,11
test_pair_0046,train,liar2_finance,1,11
train_pair_0546,train,liar2_finance,1,11
validation_pair_0079,train,liar2_finance,1,11
train_pair_0395,train,liar2_finance,1,11
test_pair_0031,train,liar2_finance,1,11
train_pair_0269,train,liar2_finance,1,11
train_pair_0576,train,liar2_finance,1,11
validation_pair_0114,train,liar2_finance,1,11
train_pair_0063,train,liar2_finance,1,11
train_pair_0394,train,liar2_finance,1,11
test_pair_0052,train,liar2_finance,1,11
test_pair_0024,train,liar2_finance,1,11
validation_pair_0046,train,liar2_finance,1,11
train_pair_0102,train,liar2_finance,1,11
train_pair_0639,train,liar2_finance,1,11
train_pair_0074,train,liar2_finance,1,11
train_pair_0079,train,liar2_finance,1,11
train_pair_0503,train,liar2_finance,1,11
train_pair_0281,train,liar2_finance,1,11
test_pair_0086,train,liar2_finance,1,11
test_pair_0090,train,liar2_finance,1,11
train_pair_0278,train,liar2_finance,1,11
train_pair_0414,train,liar2_finance,1,11
train_pair_0580,train,liar2_finance,1,11
train_pair_0666,train,liar2_finance,1,11
train_pair_0370,train,liar2_finance,1,11
validation_pair_0007,train,liar2_finance,1,11
train_pair_0129,train,liar2_finance,1,11
train_pair_0584,train,liar2_finance,1,11
train_pair_0806,train,liar2_finance,1,11
train_pair_0554,train,liar2_finance,1,11
train_pair_0603,train,liar2_finance,1,11
train_pair_0502,train,liar2_finance,1,11
train_pair_0272,train,liar2_finance,1,11
validation_pair_0064,train,liar2_finance,1,11
validation_pair_0036,train,liar2_finance,1,11
train_pair_0393,train,liar2_finance,1,11
train_pair_0167,train,liar2_finance,1,11
train_pair_0683,train,liar2_finance,1,11
train_pair_0421,train,liar2_finance,1,11
train_pair_0799,train,liar2_finance,1,11
train_pair_0193,train,liar2_finance,1,11
train_pair_0310,train,liar2_finance,1,11
validation_pair_0047,train,liar2_finance,1,11
train_pair_0413,train,liar2_finance,1,11
train_pair_0166,train,liar2_finance,1,11
train_pair_0006,train,liar2_finance,1,11
train_pair_0262,train,liar2_finance,1,11
train_pair_0675,train,liar2_finance,1,11
train_pair_0017,train,liar2_finance,1,11
train_pair_0463,train,liar2_finance,1,11
train_pair_0387,train,liar2_finance,1,11
train_pair_0569,train,liar2_finance,1,11
train_pair_0043,train,liar2_finance,1,11
train_pair_0115,train,liar2_finance,1,11
validation_pair_0052,train,liar2_finance,1,11
validation_pair_0021,train,liar2_finance,1,11
train_pair_0052,train,liar2_finance,1,11
train_pair_0245,train,liar2_finance,1,11
train_pair_0776,train,liar2_finance,1,11
train_pair_0106,train,liar2_finance,1,11
train_pair_0529,train,liar2_finance,1,11
train_pair_0103,train,liar2_finance,1,11
train_pair_0744,train,liar2_finance,1,11
train_pair_0532,train,liar2_finance,1,11
train_pair_0616,train,liar2_finance,1,11
train_pair_0636,train,liar2_finance,1,11
train_pair_0442,train,liar2_finance,1,11
train_pair_0574,train,liar2_finance,1,11
train_pair_0720,train,liar2_finance,1,11
train_pair_0685,train,liar2_finance,1,11
train_pair_0665,train,liar2_finance,1,11
train_pair_0110,train,liar2_finance,1,11
train_pair_0638,train,liar2_finance,1,11
train_pair_0637,train,liar2_finance,1,11
train_pair_0015,train,liar2_finance,1,11
train_pair_0770,train,liar2_finance,1,11
validation_pair_0095,train,liar2_finance,1,11
train_pair_0104,train,liar2_finance,1,11
train_pair_0288,train,liar2_finance,1,11
train_pair_0658,train,liar2_finance,1,11
validation_pair_0105,train,liar2_finance,1,11
validation_pair_0051,train,liar2_finance,1,11
train_pair_0367,train,liar2_finance,1,11
train_pair_0084,train,liar2_finance,1,11
test_pair_0082,train,liar2_finance,1,11
train_pair_0173,train,liar2_finance,1,11
train_pair_0409,train,liar2_finance,1,11
