dataset,repetition,seed,model,best_epoch,epoch,train_loss,validation_loss,validation_macro_f1,validation_balanced_accuracy
liar2_finance,1,11,text_only,2,1,0.6681583767983972,0.6396764867446002,0.6417350301922198,0.642156862745098
liar2_finance,1,11,text_only,2,2,0.5615948650895095,0.6745560239343082,0.6557340964120626,0.6617647058823529
liar2_finance,1,11,text_only,2,3,0.4066390368996597,0.6986607336530498,0.6519524210020425,0.6519607843137255
liar2_finance,1,11,text_only,2,4,0.2614667863380618,0.7565214704064762,0.6470248966644238,0.6470588235294117
liar2_finance,1,11,emotion_aware,3,1,0.6710874598200728,0.6266628807666255,0.65633423180593,0.6568627450980392
liar2_finance,1,11,emotion_aware,3,2,0.562185587243336,0.6476442346385881,0.6357142857142857,0.6470588235294117
liar2_finance,1,11,emotion_aware,3,3,0.41506044661126484,0.6816258944717108,0.6706109169779492,0.6715686274509804
liar2_finance,1,11,emotion_aware,3,4,0.2778720042690998,0.7241108160392911,0.6692719045660223,0.6715686274509804
liar2_finance,1,11,emotion_aware,3,5,0.1819466053712659,0.8031150219487209,0.6581420765027323,0.6617647058823529
liar2_finance,2,22,text_only,3,1,0.6713567765747629,0.6778076700135773,0.5782692307692308,0.5784313725490196
liar2_finance,2,22,text_only,3,2,0.5533661688246378,0.7054419891507018,0.6152804642166345,0.6176470588235294
liar2_finance,2,22,text_only,3,3,0.4025287859323548,0.7632148172341141,0.6414590104730951,0.642156862745098
liar2_finance,2,22,text_only,3,4,0.252995508727504,0.8840280560886159,0.6372549019607843,0.6372549019607843
liar2_finance,2,22,text_only,3,5,0.16517159397282252,0.9713981104832069,0.631919551567349,0.6323529411764706
liar2_finance,2,22,emotion_aware,3,1,0.6694801414885172,0.6785391499014461,0.5796873106290147,0.5833333333333334
liar2_finance,2,22,emotion_aware,3,2,0.5452489739511072,0.7020649138618918,0.6007827788649707,0.6029411764705883
liar2_finance,2,22,emotion_aware,3,3,0.38597251438513036,0.8129751869276458,0.6321637426900585,0.6372549019607843
liar2_finance,2,22,emotion_aware,3,4,0.23522554992175684,0.9864458850785798,0.6312652662432828,0.6372549019607843
liar2_finance,2,22,emotion_aware,3,5,0.14334707085679216,1.0677500261979944,0.5976911976911977,0.5980392156862745
liar2_finance,3,33,text_only,5,1,0.6821458307708183,0.6397561372495165,0.5987937590140291,0.6323529411764706
liar2_finance,3,33,text_only,5,2,0.5551867165216585,0.6096627548629162,0.6993549322316446,0.7009803921568627
liar2_finance,3,33,text_only,5,3,0.3996492259386109,0.663473318604862,0.6953463724828981,0.696078431372549
liar2_finance,3,33,text_only,5,4,0.2508844744868395,0.7118779187108956,0.7205815210861468,0.7205882352941176
liar2_finance,3,33,text_only,5,5,0.16147609480270525,0.7799027760823568,0.7398898164409267,0.7401960784313726
liar2_finance,3,33,emotion_aware,5,1,0.6779619432077175,0.6498175368589514,0.5880949259210699,0.6225490196078431
liar2_finance,3,33,emotion_aware,5,2,0.5465116852667273,0.6237701130848304,0.6977777777777778,0.7009803921568627
liar2_finance,3,33,emotion_aware,5,3,0.3871535468392256,0.6470744633207134,0.7003972553268327,0.7009803921568627
liar2_finance,3,33,emotion_aware,5,4,0.2347637687514468,0.7213791164697385,0.7058540805536864,0.7058823529411764
liar2_finance,3,33,emotion_aware,5,5,0.1476700253239492,0.7998051362879136,0.7058823529411765,0.7058823529411765
liar2_finance,4,44,text_only,2,1,0.681809725994017,0.6041785408468807,0.6517515808708615,0.6519607843137255
liar2_finance,4,44,text_only,2,2,0.5469912497008719,0.5869626998901367,0.6838128451031676,0.6862745098039216
liar2_finance,4,44,text_only,2,3,0.37735708632120274,0.6303976213230806,0.6749396426846934,0.6764705882352942
liar2_finance,4,44,text_only,2,4,0.22361564748897786,0.7818533860000909,0.6809969446917026,0.6813725490196079
liar2_finance,4,44,emotion_aware,3,1,0.6767613733687052,0.6070757987452489,0.6535326086956521,0.6568627450980392
liar2_finance,4,44,emotion_aware,3,2,0.5566783250831976,0.5953759141996795,0.6810942843185149,0.6862745098039216
liar2_finance,4,44,emotion_aware,3,3,0.4029825872037469,0.6209007244484097,0.6956103195995379,0.696078431372549
liar2_finance,4,44,emotion_aware,3,4,0.2613741299728068,0.710064034835965,0.6337344720496894,0.6372549019607843
liar2_finance,4,44,emotion_aware,3,5,0.17341824123045294,0.7708028251049566,0.6238354037267081,0.6274509803921569
liar2_finance,5,55,text_only,4,1,0.6543326473817592,0.6625409476897296,0.5825207656193572,0.5833333333333333
liar2_finance,5,55,text_only,4,2,0.5448179794520867,0.6816744664136101,0.6517515808708615,0.6519607843137255
liar2_finance,5,55,text_only,4,3,0.3825702649791066,0.7461578986224007,0.6697832862216424,0.6715686274509804
liar2_finance,5,55,text_only,4,4,0.22273262132231783,0.898278883859223,0.6902759368598625,0.6911764705882353
liar2_finance,5,55,text_only,4,5,0.14060772286682593,0.9928029378255209,0.6706109169779492,0.6715686274509804
liar2_finance,5,55,emotion_aware,4,1,0.6608828707439144,0.6691497213700238,0.5887795992714026,0.5931372549019608
liar2_finance,5,55,emotion_aware,4,2,0.5420957828440317,0.7037399142396217,0.5923438064283135,0.5931372549019608
liar2_finance,5,55,emotion_aware,4,3,0.38994034892175256,0.7761467601738724,0.6369408369408369,0.6372549019607843
liar2_finance,5,55,emotion_aware,4,4,0.22924622667998804,0.9098100638857075,0.6764705882352942,0.6764705882352942
liar2_finance,5,55,emotion_aware,4,5,0.14089297812159468,1.006613242859934,0.6715607353117866,0.6715686274509804
liar2_finance,6,66,text_only,4,1,0.6676350308627617,0.6935956244375191,0.5577453685455263,0.5686274509803921
liar2_finance,6,66,text_only,4,2,0.5374699120114489,0.7486643230213839,0.5743400621118013,0.5784313725490197
liar2_finance,6,66,text_only,4,3,0.3636345801556983,0.9220927509607053,0.5937468883799661,0.6078431372549019
liar2_finance,6,66,text_only,4,4,0.20712457746267318,1.0324261258630192,0.6274151687013362,0.6274509803921569
liar2_finance,6,66,text_only,4,5,0.1212280727014309,1.1742490787132114,0.6047660563789596,0.607843137254902
liar2_finance,6,66,emotion_aware,4,1,0.6677638620865054,0.7077862000932881,0.5559468779807762,0.5637254901960784
liar2_finance,6,66,emotion_aware,4,2,0.5519916642002943,0.7541855620402916,0.5774159360246651,0.5784313725490196
liar2_finance,6,66,emotion_aware,4,3,0.3789016240617124,0.8561941385269165,0.5869337171574248,0.5931372549019608
liar2_finance,6,66,emotion_aware,4,4,0.23260678714368402,1.0117002678852456,0.6126613310260293,0.6127450980392157
liar2_finance,6,66,emotion_aware,4,5,0.13419320365277732,1.1687221854340797,0.5810683481916359,0.5833333333333333
liar2_finance,7,77,text_only,5,1,0.6759594036311638,0.6578085609510833,0.5661772151898734,0.5882352941176471
liar2_finance,7,77,text_only,5,2,0.5612609374813917,0.7107160161523258,0.5862276198823088,0.6029411764705883
liar2_finance,7,77,text_only,5,3,0.39611140664030864,0.7568524678548177,0.651506523730534,0.6617647058823529
liar2_finance,7,77,text_only,5,4,0.2610901316491569,0.8722327456754797,0.642079457783546,0.642156862745098
liar2_finance,7,77,text_only,5,5,0.16442251692457896,0.961039101376253,0.6616915422885572,0.661764705882353
liar2_finance,7,77,emotion_aware,4,1,0.6771116120059316,0.6508421617395738,0.6066608238387379,0.6225490196078431
liar2_finance,7,77,emotion_aware,4,2,0.5610136622335853,0.6902005228341794,0.6097100404999131,0.6225490196078431
liar2_finance,7,77,emotion_aware,4,3,0.3921980016115235,0.7772292716830385,0.6343721995419696,0.6470588235294118
liar2_finance,7,77,emotion_aware,4,4,0.25043623033093243,0.8874760515549603,0.63722003268288,0.6372549019607843
liar2_finance,7,77,emotion_aware,4,5,0.15888536688758106,0.9752219237533271,0.63722003268288,0.6372549019607843
liar2_finance,8,88,text_only,3,1,0.6753153646864543,0.6257317907669965,0.6738408559832739,0.6813725490196079
liar2_finance,8,88,text_only,3,2,0.5505342390479111,0.5970093806584676,0.6692719045660223,0.6715686274509804
liar2_finance,8,88,text_only,3,3,0.3930985403497045,0.6708184433918373,0.6753472222222222,0.6764705882352942
liar2_finance,8,88,text_only,3,4,0.24553985450325944,0.8118210306354597,0.6517515808708615,0.6519607843137255
liar2_finance,8,88,text_only,3,5,0.1534669033637861,0.9071414236928902,0.6714975845410628,0.6715686274509804
liar2_finance,8,88,emotion_aware,1,1,0.6716507205149023,0.6206623713175455,0.6884115096570753,0.696078431372549
liar2_finance,8,88,emotion_aware,1,2,0.5520595245245027,0.6323057296229344,0.6556712962962963,0.6568627450980392
liar2_finance,8,88,emotion_aware,1,3,0.3933708156027445,0.6888646705477846,0.6613659874419611,0.6617647058823529
liar2_finance,9,99,text_only,4,1,0.6795181434328963,0.6402404355067833,0.5929377888914147,0.6127450980392157
liar2_finance,9,99,text_only,4,2,0.5642958140954739,0.6090781805562038,0.6257979308826767,0.6323529411764706
liar2_finance,9,99,text_only,4,3,0.3931473458685526,0.6500823357525993,0.6568627450980392,0.6568627450980392
liar2_finance,9,99,text_only,4,4,0.23024624106360644,0.7468553688011917,0.6714975845410628,0.6715686274509804
liar2_finance,9,99,text_only,4,5,0.1386784756510723,0.8180579297682818,0.6711814660668318,0.6715686274509804
liar2_finance,9,99,emotion_aware,2,1,0.6776033448009956,0.6325037596272487,0.6581420765027323,0.6617647058823529
liar2_finance,9,99,emotion_aware,2,2,0.5700251776997636,0.5855968769858865,0.7057692307692307,0.7058823529411764
liar2_finance,9,99,emotion_aware,2,3,0.41539720602151825,0.6579822675854552,0.6796405015583098,0.6813725490196079
liar2_finance,9,99,emotion_aware,2,4,0.25920104028248203,0.7522932478025848,0.6655092592592593,0.6666666666666666
liar2_finance,10,110,text_only,3,1,0.6689471372743933,0.6993060906728109,0.6367007391866508,0.642156862745098
liar2_finance,10,110,text_only,3,2,0.553210688364215,0.6698181582432167,0.636696187909126,0.6372549019607843
