dataset,repetition,seed,fold,model,train_rows,test_rows,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,1,text_only,1638,410,0.6585365853658537,0.6585365853658536,0.6470588235294118,0.697560975609756,0.6713615023474179,0.6580157765544197
liar2_finance,1,11,1,emotion_aware,1638,410,0.6829268292682927,0.6829268292682926,0.6794258373205742,0.6926829268292682,0.6859903381642513,0.6828966469146379
liar2_finance,1,11,2,text_only,1638,410,0.624390243902439,0.624390243902439,0.6231884057971014,0.6292682926829268,0.6262135922330098,0.6243813059204264
liar2_finance,1,11,2,emotion_aware,1638,410,0.6292682926829268,0.6292682926829268,0.6267942583732058,0.6390243902439025,0.6328502415458938,0.629233002546346
liar2_finance,1,11,3,text_only,1638,410,0.6609756097560976,0.6609756097560975,0.6793478260869565,0.6097560975609756,0.6426735218508998,0.6600838606934314
liar2_finance,1,11,3,emotion_aware,1638,410,0.6463414634146342,0.646341463414634,0.6630434782608695,0.5951219512195122,0.6272493573264781,0.645411221586673
liar2_finance,1,11,4,text_only,1638,410,0.6487804878048781,0.648780487804878,0.6613756613756614,0.6097560975609756,0.6345177664974619,0.6482447987416887
liar2_finance,1,11,4,emotion_aware,1638,410,0.6292682926829268,0.6292682926829268,0.6345177664974619,0.6097560975609756,0.6218905472636815,0.6291270918136589
liar2_finance,1,11,5,text_only,1640,408,0.6936274509803921,0.6936274509803921,0.6984924623115578,0.6813725490196079,0.6898263027295285,0.6935814322364349
liar2_finance,1,11,5,emotion_aware,1640,408,0.6691176470588235,0.6691176470588236,0.6751269035532995,0.6519607843137255,0.6633416458852868,0.6690202205330048
liar2_finance,2,22,1,text_only,1638,410,0.6292682926829268,0.6292682926829268,0.6267942583732058,0.6390243902439025,0.6328502415458938,0.629233002546346
liar2_finance,2,22,1,emotion_aware,1638,410,0.6487804878048781,0.6487804878048781,0.6502463054187192,0.6439024390243903,0.6470588235294118,0.6487721302113079
liar2_finance,2,22,2,text_only,1638,410,0.6365853658536585,0.6365853658536585,0.6386138613861386,0.6292682926829268,0.6339066339066339,0.6365659077523484
liar2_finance,2,22,2,emotion_aware,1638,410,0.6658536585365854,0.6658536585365853,0.673469387755102,0.6439024390243903,0.6583541147132169,0.6656925704831
liar2_finance,2,22,3,text_only,1638,410,0.7024390243902439,0.7024390243902439,0.6966824644549763,0.7170731707317073,0.7067307692307693,0.7023752856054837
liar2_finance,2,22,3,emotion_aware,1638,410,0.6731707317073171,0.6731707317073171,0.6714975845410628,0.6780487804878049,0.6747572815533981,0.6731629545021892
liar2_finance,2,22,4,text_only,1638,410,0.651219512195122,0.651219512195122,0.6581632653061225,0.6292682926829268,0.6433915211970075,0.6510513691903892
liar2_finance,2,22,4,emotion_aware,1638,410,0.6170731707317073,0.6170731707317073,0.6411764705882353,0.5317073170731708,0.5813333333333334,0.6142621722846442
liar2_finance,2,22,5,text_only,1640,408,0.625,0.625,0.6307692307692307,0.6029411764705882,0.6165413533834586,0.6248174392816573
liar2_finance,2,22,5,emotion_aware,1640,408,0.6593137254901961,0.6593137254901961,0.6683937823834197,0.6323529411764706,0.6498740554156172,0.6590659059894315
liar2_finance,3,33,1,text_only,1638,410,0.6829268292682927,0.6829268292682926,0.6963350785340314,0.6487804878048781,0.6717171717171717,0.682556699066133
liar2_finance,3,33,1,emotion_aware,1638,410,0.6609756097560976,0.6609756097560975,0.6736842105263158,0.624390243902439,0.6481012658227848,0.6605212211466865
liar2_finance,3,33,2,text_only,1638,410,0.6829268292682927,0.6829268292682926,0.6794258373205742,0.6926829268292682,0.6859903381642513,0.6828966469146379
liar2_finance,3,33,2,emotion_aware,1638,410,0.7146341463414634,0.7146341463414634,0.7178217821782178,0.7073170731707317,0.7125307125307125,0.7146188671612401
liar2_finance,3,33,3,text_only,1638,410,0.6463414634146342,0.6463414634146342,0.65625,0.6146341463414634,0.6347607052896725,0.6459855535904627
liar2_finance,3,33,3,emotion_aware,1638,410,0.6536585365853659,0.6536585365853658,0.6779661016949152,0.5853658536585366,0.6282722513089005,0.6520356690334457
liar2_finance,3,33,4,text_only,1638,410,0.6121951219512195,0.6121951219512195,0.6138613861386139,0.6048780487804878,0.6093366093366094,0.6121743579370698
liar2_finance,3,33,4,emotion_aware,1638,410,0.6268292682926829,0.6268292682926829,0.634020618556701,0.6,0.6165413533834586,0.6265604629150072
liar2_finance,3,33,5,text_only,1640,408,0.6397058823529411,0.6397058823529411,0.6363636363636364,0.6519607843137255,0.6440677966101694,0.6396517643100474
liar2_finance,3,33,5,emotion_aware,1640,408,0.6397058823529411,0.6397058823529411,0.6390243902439025,0.6421568627450981,0.6405867970660146,0.6397037179433267
liar2_finance,4,44,1,text_only,1638,410,0.6682926829268293,0.6682926829268292,0.676923076923077,0.6439024390243903,0.66,0.6680952380952381
liar2_finance,4,44,1,emotion_aware,1638,410,0.697560975609756,0.697560975609756,0.7055837563451777,0.6780487804878049,0.6915422885572139,0.6974457854269323
liar2_finance,4,44,2,text_only,1638,410,0.6804878048780488,0.6804878048780487,0.6868686868686869,0.6634146341463415,0.674937965260546,0.680394642102695
liar2_finance,4,44,2,emotion_aware,1638,410,0.6439024390243903,0.6439024390243901,0.6612021857923497,0.5902439024390244,0.6237113402061856,0.6428741886216114
liar2_finance,4,44,3,text_only,1638,410,0.6951219512195121,0.6951219512195121,0.7105263157894737,0.6585365853658537,0.6835443037974683,0.6947133283693224
liar2_finance,4,44,3,emotion_aware,1638,410,0.6853658536585366,0.6853658536585365,0.6938775510204082,0.6634146341463415,0.6783042394014963,0.6852141722067148
liar2_finance,4,44,4,text_only,1638,410,0.6658536585365854,0.6658536585365854,0.6650485436893204,0.6682926829268293,0.6666666666666666,0.6658516707416462
liar2_finance,4,44,4,emotion_aware,1638,410,0.6609756097560976,0.6609756097560976,0.665,0.6487804878048781,0.6567901234567901,0.6609251822103228
liar2_finance,4,44,5,text_only,1640,408,0.6372549019607843,0.6372549019607843,0.64,0.6274509803921569,0.6336633663366337,0.63722003268288
liar2_finance,4,44,5,emotion_aware,1640,408,0.6593137254901961,0.6593137254901961,0.6497695852534562,0.6911764705882353,0.669833729216152,0.6589674975194684
liar2_finance,5,55,1,text_only,1638,410,0.651219512195122,0.651219512195122,0.6581632653061225,0.6292682926829268,0.6433915211970075,0.6510513691903892
liar2_finance,5,55,1,emotion_aware,1638,410,0.675609756097561,0.6756097560975609,0.6875,0.6439024390243903,0.6649874055415617,0.6752833008795278
liar2_finance,5,55,2,text_only,1638,410,0.651219512195122,0.6512195121951219,0.6383928571428571,0.697560975609756,0.6666666666666666,0.6504688832054561
liar2_finance,5,55,2,emotion_aware,1638,410,0.6463414634146342,0.6463414634146342,0.6388888888888888,0.6731707317073171,0.6555819477434679,0.6460867132201049
liar2_finance,5,55,3,text_only,1638,410,0.6707317073170732,0.6707317073170731,0.6861702127659575,0.6292682926829268,0.6564885496183206,0.6701646495164202
liar2_finance,5,55,3,emotion_aware,1638,410,0.6658536585365854,0.6658536585365853,0.6827956989247311,0.6195121951219512,0.649616368286445,0.6651345244695628
liar2_finance,5,55,4,text_only,1638,410,0.6853658536585366,0.6853658536585365,0.6844660194174758,0.6878048780487804,0.6861313868613139,0.6853639819392144
liar2_finance,5,55,4,emotion_aware,1638,410,0.6853658536585366,0.6853658536585365,0.6881188118811881,0.6780487804878049,0.683046683046683,0.6853490073829056
liar2_finance,5,55,5,text_only,1640,408,0.6666666666666666,0.6666666666666667,0.67,0.6568627450980392,0.6633663366336634,0.6666346246275113
liar2_finance,5,55,5,emotion_aware,1640,408,0.6740196078431373,0.6740196078431373,0.6961325966850829,0.6176470588235294,0.6545454545454545,0.6729803838852563
liar2_finance,6,66,1,text_only,1638,410,0.6487804878048781,0.648780487804878,0.6666666666666666,0.5951219512195122,0.6288659793814433,0.6477663230240549
liar2_finance,6,66,1,emotion_aware,1638,410,0.6268292682926829,0.6268292682926829,0.6413043478260869,0.5756097560975609,0.6066838046272494,0.6258477027776618
liar2_finance,6,66,2,text_only,1638,410,0.6487804878048781,0.648780487804878,0.6343612334801763,0.7024390243902439,0.6666666666666666,0.6477663230240549
liar2_finance,6,66,2,emotion_aware,1638,410,0.6560975609756098,0.6560975609756098,0.6538461538461539,0.6634146341463415,0.6585956416464891,0.6560791476045713
liar2_finance,6,66,3,text_only,1638,410,0.6317073170731707,0.6317073170731707,0.6363636363636364,0.6146341463414634,0.6253101736972705,0.6315999309733356
