dataset,repetition,outer_seed,outer_fold,model,train_rows,test_rows,ngram_range,min_df,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,1,text_only,1638,410,1-2,1,1.0,,0.6658536585365854,0.6658536585365853,0.6588785046728972,0.6878048780487804,0.6730310262529833,0.6656925704831
liar2_finance,1,11,1,emotion_aware,1638,410,1-2,2,1.0,0.5,0.6853658536585366,0.6853658536585365,0.6826923076923077,0.6926829268292682,0.6876513317191283,0.6853490073829056
liar2_finance,1,11,2,text_only,1638,410,1-2,2,1.0,,0.624390243902439,0.624390243902439,0.6231884057971014,0.6292682926829268,0.6262135922330098,0.6243813059204264
liar2_finance,1,11,2,emotion_aware,1638,410,1-2,1,1.0,0.1,0.6390243902439025,0.6390243902439025,0.6403940886699507,0.6341463414634146,0.6372549019607843,0.6390158004949553
liar2_finance,1,11,3,text_only,1638,410,1-2,1,1.0,,0.6658536585365854,0.6658536585365853,0.6847826086956522,0.6146341463414634,0.6478149100257069,0.664974740395684
liar2_finance,1,11,3,emotion_aware,1638,410,1-2,2,1.0,0.1,0.6487804878048781,0.648780487804878,0.6613756613756614,0.6097560975609756,0.6345177664974619,0.6482447987416887
liar2_finance,1,11,4,text_only,1638,410,1-2,1,1.0,,0.6414634146341464,0.6414634146341464,0.6542553191489362,0.6,0.6259541984732825,0.6408459516956576
liar2_finance,1,11,4,emotion_aware,1638,410,1-1,2,1.0,0.1,0.6365853658536585,0.6365853658536585,0.6386138613861386,0.6292682926829268,0.6339066339066339,0.6365659077523484
liar2_finance,1,11,5,text_only,1640,408,1-2,1,10.0,,0.6838235294117647,0.6838235294117647,0.6963350785340314,0.6519607843137255,0.6734177215189874,0.6835022099281398
liar2_finance,1,11,5,emotion_aware,1640,408,1-2,1,1.0,0.05,0.678921568627451,0.678921568627451,0.6972972972972973,0.6323529411764706,0.6632390745501285,0.6782237527317387
liar2_finance,2,22,1,text_only,1638,410,1-2,2,1.0,,0.6292682926829268,0.6292682926829268,0.6267942583732058,0.6390243902439025,0.6328502415458938,0.629233002546346
liar2_finance,2,22,1,emotion_aware,1638,410,1-2,2,1.0,0.1,0.6463414634146342,0.6463414634146342,0.6456310679611651,0.6487804878048781,0.6472019464720195,0.6463393595440782
liar2_finance,2,22,2,text_only,1638,410,1-2,1,10.0,,0.6585365853658537,0.6585365853658536,0.6737967914438503,0.6146341463414634,0.6428571428571429,0.6578771695594126
