dataset,repetition,outer_seed,outer_fold,model,parameter_index,ngram_range,min_df,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,1,text_only,1,1-1,1,0.1,,0.6385787891799055,0.6385836385836385,False
liar2_finance,1,11,1,text_only,2,1-1,1,1.0,,0.6465200147742693,0.6465201465201466,False
liar2_finance,1,11,1,text_only,3,1-1,1,10.0,,0.6379719235865353,0.6379731379731379,False
liar2_finance,1,11,1,text_only,4,1-1,2,0.1,,0.6398024918114906,0.6398046398046398,False
liar2_finance,1,11,1,text_only,5,1-1,2,1.0,,0.6410235003138245,0.641025641025641,False
liar2_finance,1,11,1,text_only,6,1-1,2,10.0,,0.6251526251526252,0.6251526251526252,False
liar2_finance,1,11,1,text_only,7,1-2,1,0.1,,0.641939166051165,0.6422466422466422,False
liar2_finance,1,11,1,text_only,8,1-2,1,1.0,,0.6505180295778179,0.6507936507936508,True
liar2_finance,1,11,1,text_only,9,1-2,1,10.0,,0.6430797335052654,0.6434676434676435,False
liar2_finance,1,11,1,text_only,10,1-2,2,0.1,,0.6391832462840523,0.6391941391941391,False
liar2_finance,1,11,1,text_only,11,1-2,2,1.0,,0.6446838772005152,0.6446886446886447,False
liar2_finance,1,11,1,text_only,12,1-2,2,10.0,,0.6343067268625381,0.6343101343101343,False
liar2_finance,1,11,1,emotion_aware,1,1-1,1,0.1,0.05,0.6336728730065959,0.6336996336996337,False
liar2_finance,1,11,1,emotion_aware,2,1-1,1,0.1,0.1,0.6343099980134497,0.6343101343101343,False
liar2_finance,1,11,1,emotion_aware,3,1-1,1,0.1,0.25,0.6202680541475342,0.6202686202686203,False
liar2_finance,1,11,1,emotion_aware,4,1-1,1,0.1,0.5,0.6158575256619575,0.615995115995116,False
liar2_finance,1,11,1,emotion_aware,5,1-1,1,0.1,1.0,0.6034302217788792,0.6037851037851037,False
liar2_finance,1,11,1,emotion_aware,6,1-1,1,1.0,0.05,0.6452979554869764,0.6452991452991453,False
liar2_finance,1,11,1,emotion_aware,7,1-1,1,1.0,0.1,0.6489609714371971,0.648962148962149,False
liar2_finance,1,11,1,emotion_aware,8,1-1,1,1.0,0.25,0.644612349522902,0.6446886446886446,False
liar2_finance,1,11,1,emotion_aware,9,1-1,1,1.0,0.5,0.6415526433417001,0.6416361416361416,False
liar2_finance,1,11,1,emotion_aware,10,1-1,1,1.0,1.0,0.640948559311798,0.641025641025641,False
liar2_finance,1,11,1,emotion_aware,11,1-1,1,10.0,0.05,0.6324737011592958,0.6324786324786325,False
liar2_finance,1,11,1,emotion_aware,12,1-1,1,10.0,0.1,0.6318668970028345,0.6318681318681318,False
liar2_finance,1,11,1,emotion_aware,13,1-1,1,10.0,0.25,0.6367520013656136,0.6367521367521367,False
liar2_finance,1,11,1,emotion_aware,14,1-1,1,10.0,0.5,0.6361410936847756,0.6361416361416361,False
