dataset,repetition,seed,model,parameter_index,ngram_range,min_df,C,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,text_only,1,1-1,1,0.1,0.6430561089013045,0.64306640625,False
liar2_finance,1,11,text_only,2,1-1,1,1.0,0.647924959734288,0.64794921875,False
liar2_finance,1,11,text_only,3,1-1,1,10.0,0.6147437974440899,0.61474609375,False
liar2_finance,1,11,text_only,4,1-1,2,0.1,0.6489156529412283,0.64892578125,False
liar2_finance,1,11,text_only,5,1-1,2,1.0,0.6522960001220871,0.65234375,False
liar2_finance,1,11,text_only,6,1-1,2,10.0,0.6259408894433445,0.6259765625,False
liar2_finance,1,11,text_only,7,1-2,1,0.1,0.6520836196497015,0.65234375,False
liar2_finance,1,11,text_only,8,1-2,1,1.0,0.6573697059172392,0.65771484375,False
liar2_finance,1,11,text_only,9,1-2,1,10.0,0.6491701555666047,0.6494140625,False
liar2_finance,1,11,text_only,10,1-2,2,0.1,0.6547251450135028,0.65478515625,False
liar2_finance,1,11,text_only,11,1-2,2,1.0,0.6610694595471107,0.6611328125,True
liar2_finance,1,11,text_only,12,1-2,2,10.0,0.6342312117364427,0.63427734375,False
liar2_finance,1,11,emotion_aware,1,1-1,1,0.1,0.622701087708748,0.623046875,False
liar2_finance,1,11,emotion_aware,2,1-1,1,1.0,0.6400542478876639,0.64013671875,False
liar2_finance,1,11,emotion_aware,3,1-1,1,10.0,0.6245094806520978,0.62451171875,False
liar2_finance,1,11,emotion_aware,4,1-1,2,0.1,0.6232224553506556,0.62353515625,False
liar2_finance,1,11,emotion_aware,5,1-1,2,1.0,0.6473748473748474,0.6474609375,False
liar2_finance,1,11,emotion_aware,6,1-1,2,10.0,0.6264091743788688,0.62646484375,False
liar2_finance,1,11,emotion_aware,7,1-2,1,0.1,0.6050333199671574,0.60546875,False
liar2_finance,1,11,emotion_aware,8,1-2,1,1.0,0.6502764815280533,0.65087890625,False
liar2_finance,1,11,emotion_aware,9,1-2,1,10.0,0.6499335852415042,0.650390625,False
liar2_finance,1,11,emotion_aware,10,1-2,2,0.1,0.6182911390139452,0.61865234375,False
liar2_finance,1,11,emotion_aware,11,1-2,2,1.0,0.6521682710794459,0.65234375,True
liar2_finance,1,11,emotion_aware,12,1-2,2,10.0,0.6425696031952666,0.642578125,False
liar2_finance,2,22,text_only,1,1-1,1,0.1,0.6381641833642142,0.63818359375,False
liar2_finance,2,22,text_only,2,1-1,1,1.0,0.643546188978886,0.6435546875,False
liar2_finance,2,22,text_only,3,1-1,1,10.0,0.6220613017392573,0.6220703125,False
liar2_finance,2,22,text_only,4,1-1,2,0.1,0.6381641833642142,0.63818359375,False
liar2_finance,2,22,text_only,5,1-1,2,1.0,0.645499360546125,0.6455078125,False
liar2_finance,2,22,text_only,6,1-1,2,10.0,0.6259676448737352,0.6259765625,False
liar2_finance,2,22,text_only,7,1-2,1,0.1,0.6364660107821085,0.63671875,False
liar2_finance,2,22,text_only,8,1-2,1,1.0,0.6506082597341243,0.65087890625,False
liar2_finance,2,22,text_only,9,1-2,1,10.0,0.6523903818953324,0.65283203125,True
liar2_finance,2,22,text_only,10,1-2,2,0.1,0.6493806248307066,0.6494140625,False
liar2_finance,2,22,text_only,11,1-2,2,1.0,0.6493976788389808,0.6494140625,False
liar2_finance,2,22,text_only,12,1-2,2,10.0,0.6342228387055853,0.63427734375,False
liar2_finance,2,22,emotion_aware,1,1-1,1,0.1,0.6146335425590599,0.61474609375,False
liar2_finance,2,22,emotion_aware,2,1-1,1,1.0,0.6444647933001393,0.64453125,False
liar2_finance,2,22,emotion_aware,3,1-1,1,10.0,0.6288974022245937,0.62890625,False
liar2_finance,2,22,emotion_aware,4,1-1,2,0.1,0.6155971890811568,0.61572265625,False
liar2_finance,2,22,emotion_aware,5,1-1,2,1.0,0.6449578223830503,0.64501953125,False
liar2_finance,2,22,emotion_aware,6,1-1,2,10.0,0.626439104295049,0.62646484375,False
liar2_finance,2,22,emotion_aware,7,1-2,1,0.1,0.6019208501920492,0.60205078125,False
liar2_finance,2,22,emotion_aware,8,1-2,1,1.0,0.6524142790748635,0.65283203125,False
liar2_finance,2,22,emotion_aware,9,1-2,1,10.0,0.6525993708688667,0.65283203125,True
liar2_finance,2,22,emotion_aware,10,1-2,2,0.1,0.6117155929280993,0.61181640625,False
liar2_finance,2,22,emotion_aware,11,1-2,2,1.0,0.6517650537833142,0.65185546875,False
liar2_finance,2,22,emotion_aware,12,1-2,2,10.0,0.6449822037582058,0.64501953125,False
liar2_finance,3,33,text_only,1,1-1,1,0.1,0.645015384138542,0.64501953125,False
liar2_finance,3,33,text_only,2,1-1,1,1.0,0.639631597469593,0.6396484375,False
liar2_finance,3,33,text_only,3,1-1,1,10.0,0.6367100884935497,0.63671875,False
liar2_finance,3,33,text_only,4,1-1,2,0.1,0.6406236290879406,0.640625,False
liar2_finance,3,33,text_only,5,1-1,2,1.0,0.6435516280790832,0.6435546875,False
liar2_finance,3,33,text_only,6,1-1,2,10.0,0.6328037453590717,0.6328125,False
liar2_finance,3,33,text_only,7,1-2,1,0.1,0.6442839460341061,0.64453125,False
liar2_finance,3,33,text_only,8,1-2,1,1.0,0.6516221539092854,0.65185546875,True
liar2_finance,3,33,text_only,9,1-2,1,10.0,0.649132652817745,0.6494140625,False
liar2_finance,3,33,text_only,10,1-2,2,0.1,0.643546188978886,0.6435546875,False
liar2_finance,3,33,text_only,11,1-2,2,1.0,0.645499360546125,0.6455078125,False
liar2_finance,3,33,text_only,12,1-2,2,10.0,0.6401359465655134,0.64013671875,False
liar2_finance,3,33,emotion_aware,1,1-1,1,0.1,0.6154247558192388,0.61572265625,False
liar2_finance,3,33,emotion_aware,2,1-1,1,1.0,0.649822110902924,0.64990234375,False
liar2_finance,3,33,emotion_aware,3,1-1,1,10.0,0.6376949669789953,0.6376953125,False
liar2_finance,3,33,emotion_aware,4,1-1,2,0.1,0.6193928816044457,0.61962890625,False
liar2_finance,3,33,emotion_aware,5,1-1,2,1.0,0.6508088899317819,0.65087890625,False
liar2_finance,3,33,emotion_aware,6,1-1,2,10.0,0.63621997418806,0.63623046875,False
liar2_finance,3,33,emotion_aware,7,1-2,1,0.1,0.6008068720110604,0.60107421875,False
liar2_finance,3,33,emotion_aware,8,1-2,1,1.0,0.6494810662400523,0.64990234375,False
liar2_finance,3,33,emotion_aware,9,1-2,1,10.0,0.6565082387071917,0.65673828125,True
liar2_finance,3,33,emotion_aware,10,1-2,2,0.1,0.6121415657334217,0.6123046875,False
