dataset,scope,subset,manipulation_category,metric,repetitions,text_only_mean,emotion_aware_mean,mean_difference,median_difference,std_difference,emotion_better_repetitions,text_better_repetitions,tied_repetitions
liar2_finance,overall,all,all,misleading_recall,10,0.409973285841496,0.31950133570792516,-0.09047195013357079,-0.07925200356188777,0.032200135533896404,0,10,0
liar2_finance,overall,all,all,mean_probability_misleading,10,0.46851660633455383,0.42976566696912677,-0.03875093936542713,-0.042477583995725265,0.02891572138489535,2,8,0
liar2_finance,overall_non_sentiment,all,non_sentiment,misleading_recall,10,0.41188658669574696,0.32279171210468915,-0.0890948745910578,-0.08178844056706652,0.0307501762968413,0,10,0
liar2_finance,overall_non_sentiment,all,non_sentiment,mean_probability_misleading,10,0.4697759066137467,0.4307654898026579,-0.03901041681108876,-0.042995785666163966,0.027667871860742776,2,8,0
liar2_finance,subset,hard_case,all,misleading_recall,10,0.32113821138211385,0.24715447154471543,-0.0739837398373984,-0.06504065040650406,0.0343757083369682,0,10,0
liar2_finance,subset,hard_case,all,mean_probability_misleading,10,0.4349051902122178,0.39757172469247165,-0.03733346551974615,-0.0397452283751715,0.04704353105632903,2,8,0
liar2_finance,subset_non_sentiment,hard_case,non_sentiment,misleading_recall,10,0.34571428571428575,0.27714285714285714,-0.06857142857142859,-0.05714285714285716,0.023133252955221187,0,10,0
liar2_finance,subset_non_sentiment,hard_case,non_sentiment,mean_probability_misleading,10,0.4408720325872279,0.3990460210763773,-0.04182601151085059,-0.045123453999484836,0.041537937561090574,2,8,0
liar2_finance,subset,main,all,misleading_recall,10,0.42089999999999994,0.32839999999999997,-0.0925,-0.08100000000000002,0.0330563491968218,0,10,0
liar2_finance,subset,main,all,mean_probability_misleading,10,0.4726508105176011,0.4337255218691552,-0.038925288648445924,-0.04281366373705339,0.026748534016125355,2,8,0
liar2_finance,subset_non_sentiment,main,non_sentiment,misleading_recall,10,0.41735537190082644,0.3265643447461629,-0.09079102715466351,-0.08382526564344744,0.03153012118026778,0,10,0
liar2_finance,subset_non_sentiment,main,non_sentiment,mean_probability_misleading,10,0.47216465653329365,0.43338693349904467,-0.038777723034248944,-0.042819945308038315,0.026551557608311037,2,8,0
liar2_finance,category,all,causal,misleading_recall,10,0.5077922077922077,0.37748917748917743,-0.1303030303030303,-0.12554112554112556,0.023662583881207726,0,10,0
liar2_finance,category,all,causal,mean_probability_misleading,10,0.5013086920144841,0.44917288280291023,-0.052135809211573944,-0.057262890042719256,0.0147448085793853,0,10,0
liar2_finance,category,all,flipping,misleading_recall,10,0.38466453674121404,0.35015974440894565,-0.0345047923322684,-0.05111821086261986,0.04216499324980601,3,7,0
liar2_finance,category,all,flipping,mean_probability_misleading,10,0.4607962262128889,0.43716306512227077,-0.02363316109061806,-0.027447406348449804,0.035102556840383645,2,8,0
liar2_finance,category,all,numerical,misleading_recall,10,0.37533512064343166,0.26595174262734583,-0.10938337801608582,-0.09383378016085792,0.04116249271273574,0,10,0
liar2_finance,category,all,numerical,mean_probability_misleading,10,0.45778278741240125,0.41399726230105693,-0.04378552511134426,-0.0472074253858967,0.030500859230782336,2,8,0
liar2_finance,category,all,sentiment,misleading_recall,10,0.4014563106796117,0.30485436893203877,-0.09660194174757283,-0.06796116504854371,0.04486900670386531,0,10,0
liar2_finance,category,all,sentiment,mean_probability_misleading,10,0.4629108861597004,0.4253149993072429,-0.0375958868524574,-0.040170831899645876,0.034596500258674494,2,8,0
liar2_finance,subset_category,hard_case,causal,misleading_recall,10,0.4767441860465116,0.39069767441860465,-0.08604651162790697,-0.09302325581395349,0.026965158342521063,0,10,0
liar2_finance,subset_category,hard_case,causal,mean_probability_misleading,10,0.48400715482350015,0.44562878951113094,-0.03837836531236932,-0.042201942299804285,0.018605931713091294,0,10,0
liar2_finance,subset_category,hard_case,flipping,misleading_recall,10,0.3571428571428571,0.3571428571428571,0.0,0.0,0.09523809523809523,2,2,6
liar2_finance,subset_category,hard_case,flipping,mean_probability_misleading,10,0.4448746109996602,0.4406364505048046,-0.004238160494855698,-0.008142384101628819,0.048298505159237885,3,7,0
liar2_finance,subset_category,hard_case,numerical,misleading_recall,10,0.06,0.005,-0.05499999999999999,-0.025,0.06433419688539595,0,5,5
liar2_finance,subset_category,hard_case,numerical,mean_probability_misleading,10,0.3467306173348913,0.2843364186417078,-0.06239419869318354,-0.059748770471539314,0.09002580743598447,2,8,0
liar2_finance,subset_category,hard_case,sentiment,misleading_recall,10,0.28867924528301886,0.20754716981132076,-0.08113207547169812,-0.07547169811320756,0.05558126061707094,0,10,0
liar2_finance,subset_category,hard_case,sentiment,mean_probability_misleading,10,0.42702445499994024,0.39562454078919995,-0.03139991421074027,-0.032641911512870936,0.05439364709749997,2,8,0
liar2_finance,subset_category,main,causal,misleading_recall,10,0.5148936170212767,0.37446808510638296,-0.14042553191489363,-0.13829787234042556,0.026678358686246826,0,10,0
liar2_finance,subset_category,main,causal,mean_probability_misleading,10,0.5052659584996562,0.4499834998856045,-0.05528245861405168,-0.06070768128179033,0.014211951525949446,0,10,0
liar2_finance,subset_category,main,flipping,misleading_recall,10,0.38529411764705884,0.35,-0.03529411764705881,-0.052287581699346386,0.04156026827065014,3,7,0
liar2_finance,subset_category,main,flipping,mean_probability_misleading,10,0.46116044616874685,0.4370836085939122,-0.024076837574834718,-0.02788902450442271,0.03480513584509981,2,8,0
liar2_finance,subset_category,main,numerical,misleading_recall,10,0.3932011331444759,0.28073654390934843,-0.11246458923512748,-0.09348441926345608,0.041118253434413984,0,10,0
liar2_finance,subset_category,main,numerical,mean_probability_misleading,10,0.46407469506551796,0.42134348573784725,-0.04273120932767065,-0.046236283559712515,0.027207966294014112,0,10,0
liar2_finance,subset_category,main,sentiment,misleading_recall,10,0.4405228758169935,0.338562091503268,-0.10196078431372553,-0.07189542483660133,0.04715152653915043,0,10,0
liar2_finance,subset_category,main,sentiment,mean_probability_misleading,10,0.47534213355491134,0.43559992938212055,-0.039742204172790785,-0.042778889288528715,0.027877652847538237,2,8,0
