dataset,model,scope,subset,manipulation_category,repetitions,rows,misleading_recall_mean,misleading_recall_std,misleading_recall_min,misleading_recall_max,mean_probability_mean,mean_probability_std,median_probability_mean
factors_finance,emotion_aware,category,all,causal,10,231,0.25627705627705627,0.024641124624688673,0.22077922077922077,0.2987012987012987,0.39951158459294567,0.0294466766852655,0.38032815889383464
factors_finance,emotion_aware,category,all,flipping,10,313,0.27731629392971247,0.026033928162892468,0.23322683706070288,0.30990415335463256,0.41089465656993396,0.012661753796574573,0.3949664761718688
factors_finance,emotion_aware,category,all,numerical,10,373,0.34986595174262736,0.007177112781147898,0.3324396782841823,0.36193029490616624,0.43584918754283697,0.01402539940589471,0.42163217458385305
factors_finance,emotion_aware,category,all,sentiment,10,206,0.38980582524271845,0.04628227742350689,0.32524271844660196,0.4854368932038835,0.4487191629346108,0.027187725949639533,0.4440245292566143
factors_finance,emotion_aware,overall,all,all,10,1123,0.31772039180765804,0.00790689173797444,0.3072128227960819,0.3357079252003562,0.42378014075277626,0.018740441293626436,0.41008012822655315
factors_finance,emotion_aware,overall_non_sentiment,all,non_sentiment,10,917,0.3015267175572519,0.004801833810840745,0.28789531079607417,0.3031624863685932,0.41817769956470874,0.01710537083763186,0.40187718512763426
factors_finance,emotion_aware,subset,hard_case,all,10,123,0.2975609756097561,0.02140749881640272,0.2764227642276423,0.34959349593495936,0.40668829666424217,0.030746490164577995,0.3820445874525021
factors_finance,emotion_aware,subset,main,all,10,1000,0.3202,0.006811754546370579,0.311,0.334,0.425882437575666,0.0173170925275934,0.4138350545914057
factors_finance,emotion_aware,subset_category,hard_case,causal,10,43,0.24651162790697673,0.01961102424910623,0.23255813953488372,0.27906976744186046,0.3940959818703977,0.03693544592251257,0.3718883534737059
factors_finance,emotion_aware,subset_category,hard_case,flipping,10,7,0.2571428571428571,0.06023386019368341,0.14285714285714285,0.2857142857142857,0.36322015138903974,0.04052545270657102,0.36962056637619134
factors_finance,emotion_aware,subset_category,hard_case,numerical,10,20,0.27,0.04216370213557838,0.25,0.35,0.3803003209712036,0.018279257542359255,0.3440894849271373
factors_finance,emotion_aware,subset_category,hard_case,sentiment,10,53,0.3547169811320755,0.047732492983673665,0.2830188679245283,0.4528301886792453,0.43260350547410054,0.030837030830181793,0.43602846921581867
factors_finance,emotion_aware,subset_category,main,causal,10,188,0.25851063829787235,0.028611550005594764,0.2127659574468085,0.30319148936170215,0.40075025968374123,0.027801562798381318,0.38382115950140305
factors_finance,emotion_aware,subset_category,main,flipping,10,306,0.2777777777777778,0.02755797525201202,0.23202614379084968,0.3137254901960784,0.41198524982570606,0.012113928299659635,0.3962712438383498
factors_finance,emotion_aware,subset_category,main,numerical,10,353,0.3543909348441926,0.008172312190148742,0.3371104815864023,0.36827195467422097,0.43899643210780204,0.013891938326581142,0.42754158181903945
factors_finance,emotion_aware,subset_category,main,sentiment,10,153,0.4019607843137255,0.04613903831056073,0.33986928104575165,0.49673202614379086,0.4543017109438071,0.02595071044373853,0.44710866937365124
factors_finance,emotion_aware,subset_non_sentiment,hard_case,non_sentiment,10,70,0.2542857142857143,0.014754222271266338,0.24285714285714285,0.2714285714285714,0.3870667814224922,0.031082401997253782,0.35473768265912087
factors_finance,emotion_aware,subset_non_sentiment,main,non_sentiment,10,847,0.30543093270365995,0.0058385547384976685,0.2892561983471074,0.30814639905548996,0.42074884982439614,0.015977616245611878,0.4057892131843014
factors_finance,text_only,category,all,causal,10,231,0.3238095238095238,0.03545205226915312,0.2857142857142857,0.4025974025974026,0.4831375419878056,0.018353026162642328,0.4829057636269593
factors_finance,text_only,category,all,flipping,10,313,0.44696485623003196,0.01989229506057732,0.4281150159744409,0.4728434504792332,0.49293752217801057,0.007159839267894352,0.4934752876414211
factors_finance,text_only,category,all,numerical,10,373,0.39517426273458445,0.03121914558286251,0.3646112600536193,0.45576407506702415,0.4910073638166577,0.008897399477012544,0.49100653869513566
factors_finance,text_only,category,all,sentiment,10,206,0.38155339805825245,0.028045390347305226,0.33980582524271846,0.41262135922330095,0.4868478374940137,0.014579889440073619,0.4864726202469935
factors_finance,text_only,overall,all,all,10,1123,0.3924309884238647,0.023559860276113478,0.3668744434550312,0.42920747996438113,0.4891635065612471,0.011335786472814397,0.48924597296249034
factors_finance,text_only,overall_non_sentiment,all,non_sentiment,10,917,0.3948745910577972,0.02318147983233806,0.37295528898582336,0.43293347873500543,0.4896837113898732,0.010610985804507252,0.4896403357099139
factors_finance,text_only,subset,hard_case,all,10,123,0.27967479674796747,0.045702339260342104,0.22764227642276422,0.36585365853658536,0.4791247390389035,0.022424554370460904,0.47796651744116686
factors_finance,text_only,subset,main,all,10,1000,0.4063,0.021689987449409816,0.384,0.438,0.4903982749664954,0.009974569885606606,0.4906122733918895
factors_finance,text_only,subset_category,hard_case,causal,10,43,0.27674418604651163,0.062450028096504885,0.20930232558139536,0.3953488372093023,0.4786011904806536,0.02295914945204367,0.47865604158545205
factors_finance,text_only,subset_category,hard_case,flipping,10,7,0.1,0.11761037176408065,0.0,0.2857142857142857,0.47042209497157106,0.0339356873017216,0.48092752461476385
factors_finance,text_only,subset_category,hard_case,numerical,10,20,0.33499999999999996,0.033747427885527655,0.3,0.4,0.4808821766140249,0.01936396726129713,0.47796880549070675
factors_finance,text_only,subset_category,hard_case,sentiment,10,53,0.2849056603773585,0.03922632988556647,0.22641509433962265,0.3584905660377358,0.4800357266799158,0.021749333474251165,0.4776831367340583
factors_finance,text_only,subset_category,main,causal,10,188,0.3345744680851064,0.03585332610662223,0.2925531914893617,0.40425531914893614,0.48417511174742023,0.017309223088299904,0.4835549828959563
factors_finance,text_only,subset_category,main,flipping,10,306,0.4549019607843137,0.019105151432151433,0.434640522875817,0.4803921568627451,0.4934525809703148,0.0065569501118889,0.49399752071198133
factors_finance,text_only,subset_category,main,numerical,10,353,0.39858356940509915,0.03194008243556357,0.36827195467422097,0.45892351274787535,0.4915810288139739,0.008341206322543485,0.4917573978728602
