dataset,repetition,seed,model,parameter_index,ngram_range,min_df,C,affect_weight,inner_macro_f1,inner_balanced_accuracy,selected
liar2_finance,1,11,text_only,1,1-1,1,0.1,,0.6430561089013045,0.64306640625,False
liar2_finance,1,11,text_only,2,1-1,1,1.0,,0.647924959734288,0.64794921875,False
liar2_finance,1,11,text_only,3,1-1,1,10.0,,0.6147437974440899,0.61474609375,False
liar2_finance,1,11,text_only,4,1-1,2,0.1,,0.6489156529412283,0.64892578125,False
liar2_finance,1,11,text_only,5,1-1,2,1.0,,0.6522960001220871,0.65234375,False
liar2_finance,1,11,text_only,6,1-1,2,10.0,,0.6259408894433445,0.6259765625,False
liar2_finance,1,11,text_only,7,1-2,1,0.1,,0.6520836196497015,0.65234375,False
liar2_finance,1,11,text_only,8,1-2,1,1.0,,0.6573697059172392,0.65771484375,False
liar2_finance,1,11,text_only,9,1-2,1,10.0,,0.6491701555666047,0.6494140625,False
liar2_finance,1,11,text_only,10,1-2,2,0.1,,0.6547251450135028,0.65478515625,False
liar2_finance,1,11,text_only,11,1-2,2,1.0,,0.6610694595471107,0.6611328125,True
liar2_finance,1,11,text_only,12,1-2,2,10.0,,0.6342312117364427,0.63427734375,False
liar2_finance,1,11,emotion_aware,1,1-1,1,0.1,0.05,0.6552734375,0.6552734375,False
liar2_finance,1,11,emotion_aware,2,1-1,1,0.1,0.1,0.6493806248307066,0.6494140625,False
liar2_finance,1,11,emotion_aware,3,1-1,1,0.1,0.25,0.6284072488014949,0.62841796875,False
liar2_finance,1,11,emotion_aware,4,1-1,1,0.1,0.5,0.6252737718406175,0.62548828125,False
liar2_finance,1,11,emotion_aware,5,1-1,1,0.1,1.0,0.622701087708748,0.623046875,False
liar2_finance,1,11,emotion_aware,6,1-1,1,1.0,0.05,0.6528279754092206,0.65283203125,False
liar2_finance,1,11,emotion_aware,7,1-1,1,1.0,0.1,0.6494127251156812,0.6494140625,False
liar2_finance,1,11,emotion_aware,8,1-1,1,1.0,0.25,0.648389213606605,0.6484375,False
liar2_finance,1,11,emotion_aware,9,1-1,1,1.0,0.5,0.6430043578569598,0.64306640625,False
liar2_finance,1,11,emotion_aware,10,1-1,1,1.0,1.0,0.6400542478876639,0.64013671875,False
liar2_finance,1,11,emotion_aware,11,1-1,1,10.0,0.05,0.6245116292265962,0.62451171875,False
liar2_finance,1,11,emotion_aware,12,1-1,1,10.0,0.1,0.6259762058031137,0.6259765625,False
liar2_finance,1,11,emotion_aware,13,1-1,1,10.0,0.25,0.624996781321556,0.625,False
liar2_finance,1,11,emotion_aware,14,1-1,1,10.0,0.5,0.624996781321556,0.625,False
liar2_finance,1,11,emotion_aware,15,1-1,1,10.0,1.0,0.6245094806520978,0.62451171875,False
liar2_finance,1,11,emotion_aware,16,1-1,2,0.1,0.05,0.6533150225070573,0.6533203125,False
liar2_finance,1,11,emotion_aware,17,1-1,2,0.1,0.1,0.6498722085636357,0.64990234375,False
liar2_finance,1,11,emotion_aware,18,1-1,2,0.1,0.25,0.6352538192877338,0.63525390625,False
liar2_finance,1,11,emotion_aware,19,1-1,2,0.1,0.5,0.6311533970484924,0.63134765625,False
liar2_finance,1,11,emotion_aware,20,1-1,2,0.1,1.0,0.6232224553506556,0.62353515625,False
liar2_finance,1,11,emotion_aware,21,1-1,2,1.0,0.05,0.6547844154977177,0.65478515625,False
liar2_finance,1,11,emotion_aware,22,1-1,2,1.0,0.1,0.6523407660168592,0.65234375,False
liar2_finance,1,11,emotion_aware,23,1-1,2,1.0,0.25,0.6493869784786765,0.6494140625,False
liar2_finance,1,11,emotion_aware,24,1-1,2,1.0,0.5,0.6473637467601907,0.6474609375,False
liar2_finance,1,11,emotion_aware,25,1-1,2,1.0,1.0,0.6473748473748474,0.6474609375,False
liar2_finance,1,11,emotion_aware,26,1-1,2,10.0,0.05,0.6259408894433445,0.6259765625,False
liar2_finance,1,11,emotion_aware,27,1-1,2,10.0,0.1,0.6264255651650996,0.62646484375,False
liar2_finance,1,11,emotion_aware,28,1-1,2,10.0,0.25,0.6239628312287118,0.6240234375,False
liar2_finance,1,11,emotion_aware,29,1-1,2,10.0,0.5,0.6254324663380293,0.62548828125,False
liar2_finance,1,11,emotion_aware,30,1-1,2,10.0,1.0,0.6264091743788688,0.62646484375,False
liar2_finance,1,11,emotion_aware,31,1-2,1,0.1,0.05,0.6575776071447397,0.65771484375,False
liar2_finance,1,11,emotion_aware,32,1-2,1,0.1,0.1,0.6284029960885856,0.62841796875,False
liar2_finance,1,11,emotion_aware,33,1-2,1,0.1,0.25,0.6220613017392573,0.6220703125,False
liar2_finance,1,11,emotion_aware,34,1-2,1,0.1,0.5,0.6140631097651155,0.6142578125,False
liar2_finance,1,11,emotion_aware,35,1-2,1,0.1,1.0,0.6050333199671574,0.60546875,False
liar2_finance,1,11,emotion_aware,36,1-2,1,1.0,0.05,0.6574678039805988,0.65771484375,False
liar2_finance,1,11,emotion_aware,37,1-2,1,1.0,0.1,0.6641695764908011,0.66455078125,False
liar2_finance,1,11,emotion_aware,38,1-2,1,1.0,0.25,0.6611906253916531,0.66162109375,False
liar2_finance,1,11,emotion_aware,39,1-2,1,1.0,0.5,0.6508864211961816,0.6513671875,False
liar2_finance,1,11,emotion_aware,40,1-2,1,1.0,1.0,0.6502764815280533,0.65087890625,False
liar2_finance,1,11,emotion_aware,41,1-2,1,10.0,0.05,0.6505482258578372,0.65087890625,False
liar2_finance,1,11,emotion_aware,42,1-2,1,10.0,0.1,0.6495272464297349,0.64990234375,False
liar2_finance,1,11,emotion_aware,43,1-2,1,10.0,0.25,0.6509357573905736,0.6513671875,False
liar2_finance,1,11,emotion_aware,44,1-2,1,10.0,0.5,0.6509114243888745,0.6513671875,False
liar2_finance,1,11,emotion_aware,45,1-2,1,10.0,1.0,0.6499335852415042,0.650390625,False
liar2_finance,1,11,emotion_aware,46,1-2,2,0.1,0.05,0.658662027595511,0.65869140625,False
liar2_finance,1,11,emotion_aware,47,1-2,2,0.1,0.1,0.638671875,0.638671875,False
liar2_finance,1,11,emotion_aware,48,1-2,2,0.1,0.25,0.6245094806520978,0.62451171875,False
liar2_finance,1,11,emotion_aware,49,1-2,2,0.1,0.5,0.6224072615162394,0.62255859375,False
liar2_finance,1,11,emotion_aware,50,1-2,2,0.1,1.0,0.6182911390139452,0.61865234375,False
liar2_finance,1,11,emotion_aware,51,1-2,2,1.0,0.05,0.6698963752807596,0.669921875,True
liar2_finance,1,11,emotion_aware,52,1-2,2,1.0,0.1,0.6669299299872185,0.6669921875,False
