dataset,scope,subset,manipulation_category,metric,repetitions,text_only_mean,emotion_aware_mean,mean_difference,median_difference,std_difference,emotion_better_repetitions,text_better_repetitions,tied_repetitions
liar2_finance,overall,all,all,misleading_recall,10,0.409973285841496,0.3080142475512021,-0.10195903829029385,-0.09928762243989311,0.04378983777114913,0,10,0
liar2_finance,overall,all,all,mean_probability_misleading,10,0.46851660633455383,0.4404298459161959,-0.028086760418357993,-0.03259756307318021,0.026952449891057852,3,7,0
liar2_finance,overall_non_sentiment,all,non_sentiment,misleading_recall,10,0.41188658669574696,0.3128680479825518,-0.09901853871319523,-0.09214830970556165,0.044005930769029075,0,10,0
liar2_finance,overall_non_sentiment,all,non_sentiment,mean_probability_misleading,10,0.4697759066137467,0.4414563445361951,-0.028319562077551586,-0.032098225344790426,0.026049908411077065,3,7,0
liar2_finance,subset,hard_case,all,misleading_recall,10,0.32113821138211385,0.21707317073170734,-0.10406504065040649,-0.10975609756097561,0.03247512667522005,0,10,0
liar2_finance,subset,hard_case,all,mean_probability_misleading,10,0.4349051902122178,0.4107314980218922,-0.024173692190325634,-0.03500386645075351,0.04450346354370741,3,7,0
liar2_finance,subset_non_sentiment,hard_case,non_sentiment,misleading_recall,10,0.34571428571428575,0.23714285714285716,-0.10857142857142858,-0.12142857142857143,0.02792929199736224,0,10,0
liar2_finance,subset_non_sentiment,hard_case,non_sentiment,mean_probability_misleading,10,0.4408720325872279,0.4088866762568529,-0.031985356330375116,-0.04077473048418834,0.039984101141669046,3,7,0
liar2_finance,subset,main,all,misleading_recall,10,0.42089999999999994,0.31920000000000004,-0.10169999999999998,-0.09649999999999997,0.04653087386050493,0,10,0
liar2_finance,subset,main,all,mean_probability_misleading,10,0.4726508105176011,0.44408274270719517,-0.028568067810405978,-0.03230158775773864,0.024928917211194383,3,7,0
liar2_finance,subset_non_sentiment,main,non_sentiment,misleading_recall,10,0.41735537190082644,0.3191263282172373,-0.09822904368358912,-0.09149940968122788,0.04615002606062581,0,10,0
liar2_finance,subset_non_sentiment,main,non_sentiment,mean_probability_misleading,10,0.47216465653329365,0.4441480526584548,-0.02801660387483887,-0.03138115880434428,0.02495831054344454,3,7,0
liar2_finance,category,all,causal,misleading_recall,10,0.5077922077922077,0.34545454545454546,-0.16233766233766236,-0.13852813852813853,0.049537211814637425,0,10,0
liar2_finance,category,all,causal,mean_probability_misleading,10,0.5013086920144841,0.4511269273253385,-0.05018176468914566,-0.04839457900080532,0.014585248127601059,0,10,0
liar2_finance,category,all,flipping,misleading_recall,10,0.38466453674121404,0.379552715654952,-0.005111821086261991,-0.001597444089456862,0.05499168892010842,5,5,0
liar2_finance,category,all,flipping,mean_probability_misleading,10,0.4607962262128889,0.45873118837451327,-0.002065037838375605,-0.0062278368844359555,0.0325766710064272,4,6,0
liar2_finance,category,all,numerical,misleading_recall,10,0.37533512064343166,0.23672922252010725,-0.1386058981233244,-0.1407506702412869,0.04999758411811085,0,10,0
liar2_finance,category,all,numerical,mean_probability_misleading,10,0.45778278741240125,0.42097127551290897,-0.0368115118994922,-0.04371477733822615,0.029157049603097104,0,10,0
liar2_finance,category,all,sentiment,misleading_recall,10,0.4014563106796117,0.28640776699029125,-0.11504854368932041,-0.1092233009708738,0.05157981149180385,0,10,0
liar2_finance,category,all,sentiment,mean_probability_misleading,10,0.4629108861597004,0.4358604321562963,-0.027050454003403973,-0.03482034315538102,0.03158625382162851,3,7,0
liar2_finance,subset_category,hard_case,causal,misleading_recall,10,0.4767441860465116,0.31860465116279074,-0.15813953488372096,-0.1511627906976744,0.043576649062186654,0,10,0
liar2_finance,subset_category,hard_case,causal,mean_probability_misleading,10,0.48400715482350015,0.4424953560958779,-0.041511798727622215,-0.041789521864285306,0.018449559113085524,0,10,0
liar2_finance,subset_category,hard_case,flipping,misleading_recall,10,0.3571428571428571,0.3999999999999999,0.04285714285714286,0.0,0.09642122253007898,4,1,5
liar2_finance,subset_category,hard_case,flipping,mean_probability_misleading,10,0.4448746109996602,0.4571887522146869,0.012314141215026697,0.003326732597324633,0.043094841920202964,6,4,0
liar2_finance,subset_category,hard_case,numerical,misleading_recall,10,0.06,0.005,-0.05499999999999999,-0.025,0.06433419688539595,0,5,5
liar2_finance,subset_category,hard_case,numerical,mean_probability_misleading,10,0.3467306173348913,0.31972228801770664,-0.027008329317184655,-0.05199112776588416,0.08785913654913013,3,7,0
liar2_finance,subset_category,hard_case,sentiment,misleading_recall,10,0.28867924528301886,0.19056603773584907,-0.09811320754716982,-0.0849056603773585,0.04689648272278553,0,10,0
liar2_finance,subset_category,hard_case,sentiment,mean_probability_misleading,10,0.42702445499994024,0.41316805507005744,-0.013856399929882728,-0.02738197055753755,0.05074022219815228,3,7,0
liar2_finance,subset_category,main,causal,misleading_recall,10,0.5148936170212767,0.35159574468085103,-0.16329787234042553,-0.13563829787234044,0.05533789916821827,0,10,0
liar2_finance,subset_category,main,causal,mean_probability_misleading,10,0.5052659584996562,0.4531011696810131,-0.05216478881864315,-0.04990531015437108,0.014126278838567005,0,10,0
liar2_finance,subset_category,main,flipping,misleading_recall,10,0.38529411764705884,0.3790849673202615,-0.006209150326797375,-0.0032679738562091387,0.05559719060144911,5,5,0
liar2_finance,subset_category,main,flipping,mean_probability_misleading,10,0.46116044616874685,0.4587664728618295,-0.0023939733069173854,-0.006446405467351923,0.0323555519804431,4,6,0
liar2_finance,subset_category,main,numerical,misleading_recall,10,0.3932011331444759,0.2498583569405099,-0.14334277620396602,-0.1487252124645892,0.05096001546009941,0,10,0
liar2_finance,subset_category,main,numerical,mean_probability_misleading,10,0.46407469506551796,0.42670776205654654,-0.03736693300897138,-0.04313043378257281,0.025961544702979695,0,10,0
liar2_finance,subset_category,main,sentiment,misleading_recall,10,0.4405228758169935,0.3196078431372549,-0.12091503267973858,-0.11764705882352941,0.05556623418238277,0,10,0
liar2_finance,subset_category,main,sentiment,mean_probability_misleading,10,0.47534213355491134,0.44372119023192164,-0.03162094332298978,-0.037397034316725475,0.02515089076249503,1,9,0
factors_finance,overall,all,all,misleading_recall,10,0.3924309884238647,0.32377560106856634,-0.06865538735529833,-0.06500445235975069,0.0282511884294513,0,10,0
