dataset,repetition,seed,model,train_rows,ngram_range,min_df,C,affect_weight,scope,subset,manipulation_category,rows,detected_misleading,missed_misleading,misleading_recall,mean_probability_misleading,median_probability_misleading,std_probability_misleading
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,overall,all,all,1123,522,601,0.46482635796972394,0.4940701929003385,0.4922338654583395,0.09044913912914167
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,overall_non_sentiment,all,non_sentiment,917,427,490,0.46564885496183206,0.4948138945831382,0.4923776323586344,0.09141876758097112
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset,hard_case,all,123,43,80,0.34959349593495936,0.4728711106071583,0.46991013604037185,0.0858996303472883
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset_non_sentiment,hard_case,non_sentiment,70,26,44,0.37142857142857144,0.47642108586156756,0.4760684311274138,0.09271417092334915
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset,main,all,1000,479,521,0.479,0.4966776800223996,0.4943111392319655,0.09065127897556978
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset_non_sentiment,main,non_sentiment,847,401,446,0.4734356552538371,0.4963339614196316,0.49368641854379813,0.09114499018962532
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,category,all,causal,231,122,109,0.5281385281385281,0.515214828915914,0.5120353635211339,0.09298856829153024
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,category,all,flipping,313,144,169,0.46006389776357826,0.49202803501216746,0.484578108126429,0.09053812678262174
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,category,all,numerical,373,161,212,0.4316353887399464,0.48451726781327925,0.48526536860899994,0.08911953042333103
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,category,all,sentiment,206,95,111,0.46116504854368934,0.4907596373511765,0.4874511891103814,0.08592226715171426
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset_category,hard_case,causal,43,20,23,0.46511627906976744,0.5021195265590354,0.4971616292289207,0.09453237788342914
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset_category,hard_case,flipping,7,3,4,0.42857142857142855,0.48755764091101933,0.484578108126429,0.0630330799033488
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset_category,hard_case,numerical,20,3,17,0.15,0.41727164409470374,0.4205805642770888,0.0672306466797506
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset_category,hard_case,sentiment,53,17,36,0.32075471698113206,0.46818246404473096,0.4633504984742632,0.07571350060149173
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset_category,main,causal,188,102,86,0.5425531914893617,0.5182100310507319,0.5172615469671469,0.09237134222007717
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset_category,main,flipping,306,141,165,0.46078431372549017,0.4921302989295139,0.4844884425032217,0.09106762240746118
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset_category,main,numerical,353,158,195,0.4475920679886686,0.48832721816560654,0.4892616060665712,0.08868749775631
liar2_finance,1,11,text_only,2048,1-2,2,1.0,,subset_category,main,sentiment,153,78,75,0.5098039215686274,0.49858048823510864,0.502081216155172,0.08784361943972545
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,0.05,overall,all,all,1123,402,721,0.3579697239536955,0.4658962933037283,0.45937908203842764,0.093175807797522
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,0.05,overall_non_sentiment,all,non_sentiment,917,327,590,0.35659760087241005,0.46750163975528664,0.4599938623004738,0.0935697673410349
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,0.05,subset,hard_case,all,123,30,93,0.24390243902439024,0.4416902310008889,0.43458932996045796,0.0950012811394998
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,0.05,subset_non_sentiment,hard_case,non_sentiment,70,17,53,0.24285714285714285,0.44074237909079106,0.43415123047591153,0.10216511962567264
liar2_finance,1,11,emotion_aware,2048,1-2,2,1.0,0.05,subset,main,all,1000,372,628,0.372,0.46887363896697754,0.46452457014324,0.09251240321703492
