dataset,repetition,seed,model,classifier,representation,C,affect_weight,accuracy,balanced_accuracy,precision,recall,f1,macro_f1
liar2_finance,1,11,text_only,logistic_regression,word_char,1.0,,0.696078431372549,0.696078431372549,0.7222222222222222,0.6372549019607843,0.6770833333333334,0.6950231481481481
liar2_finance,1,11,emotion_aware,logistic_regression,word_char,1.0,0.5,0.6862745098039216,0.6862745098039216,0.7021276595744681,0.6470588235294118,0.673469387755102,0.6857912976511359
liar2_finance,2,22,text_only,linear_svm,word,10.0,,0.7058823529411765,0.7058823529411764,0.7333333333333333,0.6470588235294118,0.6875,0.7048611111111112
liar2_finance,2,22,emotion_aware,linear_svm,word,0.1,0.05,0.6911764705882353,0.6911764705882353,0.693069306930693,0.6862745098039216,0.6896551724137931,0.6911690496215307
liar2_finance,3,33,text_only,logistic_regression,word,1.0,,0.6176470588235294,0.6176470588235294,0.62,0.6078431372549019,0.6138613861386139,0.6176103047197923
liar2_finance,3,33,emotion_aware,linear_svm,word,0.1,0.05,0.6225490196078431,0.6225490196078431,0.6190476190476191,0.6372549019607843,0.6280193236714976,0.6224673732785349
liar2_finance,4,44,text_only,logistic_regression,word,10.0,,0.6617647058823529,0.6617647058823529,0.6633663366336634,0.6568627450980392,0.6600985221674877,0.6617565781569146
liar2_finance,4,44,emotion_aware,logistic_regression,word_char,0.1,0.1,0.6911764705882353,0.6911764705882353,0.6893203883495146,0.696078431372549,0.6926829268292682,0.6911690496215307
liar2_finance,5,55,text_only,logistic_regression,word_char,10.0,,0.6470588235294118,0.6470588235294117,0.6339285714285714,0.696078431372549,0.6635514018691588,0.6462086906253011
liar2_finance,5,55,emotion_aware,logistic_regression,word_char,10.0,0.1,0.6372549019607843,0.6372549019607843,0.625,0.6862745098039216,0.6542056074766355,0.6363811542537816
liar2_finance,6,66,text_only,logistic_regression,word_char,1.0,,0.6274509803921569,0.6274509803921569,0.6413043478260869,0.5784313725490197,0.6082474226804123,0.6265536178822622
liar2_finance,6,66,emotion_aware,logistic_regression,word_char,0.1,0.05,0.6274509803921569,0.6274509803921569,0.6354166666666666,0.5980392156862745,0.6161616161616161,0.6271284271284271
liar2_finance,7,77,text_only,logistic_regression,word,1.0,,0.7009803921568627,0.7009803921568627,0.7070707070707071,0.6862745098039216,0.6965174129353234,0.7009157112985795
liar2_finance,7,77,emotion_aware,logistic_regression,word,1.0,0.05,0.7107843137254902,0.7107843137254901,0.7171717171717171,0.696078431372549,0.7064676616915423,0.7107217535510851
liar2_finance,8,88,text_only,logistic_regression,word,0.1,,0.6421568627450981,0.642156862745098,0.638095238095238,0.6568627450980392,0.6473429951690821,0.642079457783546
liar2_finance,8,88,emotion_aware,logistic_regression,word_char,1.0,0.5,0.6323529411764706,0.6323529411764706,0.6285714285714286,0.6470588235294118,0.6376811594202898,0.6322734155310404
liar2_finance,9,99,text_only,logistic_regression,word,10.0,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
liar2_finance,9,99,emotion_aware,logistic_regression,word_char,1.0,0.05,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.6862745098039216
